,BE,CH,DE,ES,IT,UK,IE,NL,PT
2016-01-01,8226.368012718878,6162.121427623039,44556.45809885394,21863.441448839832,22081.385479488217,25560.688701883308,2783.078758962854,11537.99236727167,4706.792129737512
2016-01-02,8498.78948244911,6165.225404475735,47229.74697779566,23291.95494828724,24806.804736739166,25974.61104763767,2873.9295789877183,11930.465513878306,4977.248951399957
2016-01-03,8226.368012718878,6162.121427623039,44556.45809885394,21863.441448839832,22081.385479488217,25560.688701883308,2783.078758962854,11537.99236727167,4706.792129737512
2016-01-04,9668.230424885613,6721.7297925789535,58273.84329058546,27528.607984650127,32503.038353325508,29444.631913496203,3204.2931098312247,13675.388623621111,5819.685951801117
2016-01-05,10454.134830848323,7240.4005777273405,63066.67550724368,28272.51869773164,34748.51223310406,32194.739781271204,3432.9177041283565,13983.429221672948,6275.153745389127
2016-01-06,10451.15471932713,7255.517158981609,63263.058466149334,24748.92842974854,27865.57742411709,32148.445110075038,3444.1496656529885,14016.272441689456,6318.484988187006
2016-01-07,10482.940511180857,7197.982331725006,63214.778570547234,29855.59453296919,37271.33318685918,32056.910901504925,3446.549547946233,14056.986725531202,6329.060704258455
2016-01-08,10350.693347494233,7105.579446126301,61785.03696126459,29533.947310080574,36536.257378968156,31454.90232615891,3391.751020946105,13861.315240291005,6256.538563383822
2016-01-09,9412.069741151046,6637.249406794762,53683.719785661815,26177.441929195946,30590.99668136804,28669.365082310018,3132.320953248367,12480.748241957734,5510.6592834373905
2016-01-10,9139.648271420814,6634.145429942067,51010.430906720096,24748.92842974854,27865.57742411709,28255.442736555655,3041.4701332235027,12088.275095351099,5240.202461774946
2016-01-11,10309.089213857316,7190.649818045285,62054.527219509895,28985.581466111427,35561.81104070343,31725.463602414184,3371.833664067009,13833.198205093904,6082.639462176106
2016-01-12,10454.134830848323,7240.4005777273405,63066.67550724368,29788.717518406356,37104.997083544615,32194.739781271204,3432.9177041283565,13983.429221672948,6275.153745389127
2016-01-13,10451.15471932713,7255.517158981609,63263.058466149334,29893.625748278784,37277.10562157567,32148.445110075038,3444.1496656529885,14016.272441689456,6318.484988187006
2016-01-14,10482.940511180857,7197.982331725006,63214.778570547234,29855.59453296919,37271.33318685918,32056.910901504925,3446.549547946233,14056.986725531202,6329.060704258455
2016-01-15,10350.693347494233,7105.579446126301,61785.03696126459,29533.947310080574,36536.257378968156,31454.90232615891,3391.751020946105,13861.315240291005,6256.538563383822
2016-01-16,9412.069741151046,6637.249406794762,53683.719785661815,26177.441929195946,30590.99668136804,28669.365082310018,3132.320953248367,12480.748241957734,5510.6592834373905
2016-01-17,9139.648271420814,6634.145429942067,51010.430906720096,24748.92842974854,27865.57742411709,28255.442736555655,3041.4701332235027,12088.275095351099,5240.202461774946
2016-01-18,10309.089213857316,7190.649818045285,62054.527219509895,28985.581466111427,35561.81104070343,31725.463602414184,3371.833664067009,13833.198205093904,6082.639462176106
2016-01-19,10454.134830848323,7240.4005777273405,63066.67550724368,29788.717518406356,37104.997083544615,32194.739781271204,3432.9177041283565,13983.429221672948,6275.153745389127
2016-01-20,10451.15471932713,7255.517158981609,63263.058466149334,29893.625748278784,37277.10562157567,32148.445110075038,3444.1496656529885,14016.272441689456,6318.484988187006
2016-01-21,10482.940511180857,7197.982331725006,63214.778570547234,29855.59453296919,37271.33318685918,32056.910901504925,3446.549547946233,14056.986725531202,6329.060704258455
2016-01-22,10350.693347494233,7105.579446126301,61785.03696126459,29533.947310080574,36536.257378968156,31454.90232615891,3391.751020946105,13861.315240291005,6256.538563383822
2016-01-23,9412.069741151046,6637.249406794762,53683.719785661815,26177.441929195946,30590.99668136804,28669.365082310018,3132.320953248367,12480.748241957734,5510.6592834373905
2016-01-24,9139.648271420814,6634.145429942067,51010.430906720096,24748.92842974854,27865.57742411709,28255.442736555655,3041.4701332235027,12088.275095351099,5240.202461774946
2016-01-25,10309.089213857316,7190.649818045285,62054.527219509895,28985.581466111427,35561.81104070343,31725.463602414184,3371.833664067009,13833.198205093904,6082.639462176106
2016-01-26,10454.134830848323,7240.4005777273405,63066.67550724368,29788.717518406356,37104.997083544615,32194.739781271204,3432.9177041283565,13983.429221672948,6275.153745389127
2016-01-27,10451.15471932713,7255.517158981609,63263.058466149334,29893.625748278784,37277.10562157567,32148.445110075038,3444.1496656529885,14016.272441689456,6318.484988187006
2016-01-28,10482.940511180857,7197.982331725006,63214.778570547234,29855.59453296919,37271.33318685918,32056.910901504925,3446.549547946233,14056.986725531202,6329.060704258455
2016-01-29,10350.693347494233,7105.579446126301,61785.03696126459,29533.947310080574,36536.257378968156,31454.90232615891,3391.751020946105,13861.315240291005,6256.538563383822
2016-01-30,9412.069741151046,6637.249406794762,53683.719785661815,26177.441929195946,30590.99668136804,28669.365082310018,3132.320953248367,12480.748241957734,5510.6592834373905
2016-01-31,9139.648271420814,6634.145429942067,51010.430906720096,24748.92842974854,27865.57742411709,28255.442736555655,3041.4701332235027,12088.275095351099,5240.202461774946
2016-02-01,10108.061223579125,7099.518626248254,61428.084366070885,28596.7361199927,35708.365771662866,30592.348854453307,3348.7187292109766,13392.856067427781,5841.984057643737
2016-02-02,10253.106840570132,7149.269385930309,62440.23265380467,29399.87217228763,37251.55181450405,31061.625033310327,3409.8027692723244,13543.087084006827,6034.498340856759
2016-02-03,10250.12672904894,7164.385967184578,62636.61561271033,29504.780402160057,37423.6603525351,31015.33036211416,3421.034730796956,13575.930304023334,6077.829583654638
2016-02-04,10281.912520902666,7106.851139927974,62588.335717108224,29466.749186850462,37417.88791781861,30923.796153544048,3423.4346130902004,13616.64458786508,6088.405299726087
2016-02-05,10149.665357216041,7014.44825432927,61158.59410782558,29145.101963961846,36682.81210992759,30321.787578198033,3368.636086090073,13420.973102624883,6015.883158851454
2016-02-06,9211.041750872855,6546.11821499773,53057.276932222805,25788.59658307722,30737.551412327473,27536.25033434914,3109.206018392335,12040.406104291613,5270.003878905022
2016-02-07,8938.620281142623,6543.014238145035,50383.988053281086,24360.083083629812,28012.132155076524,27122.327988594778,3018.3551983674706,11647.932957684978,4999.5470572425775
2016-02-08,10108.061223579125,7099.518626248254,61428.084366070885,28596.7361199927,35708.365771662866,30592.348854453307,3348.7187292109766,13392.856067427781,5841.984057643737
2016-02-09,10253.106840570132,7149.269385930309,62440.23265380467,29399.87217228763,37251.55181450405,31061.625033310327,3409.8027692723244,13543.087084006827,6034.498340856759
2016-02-10,10250.12672904894,7164.385967184578,62636.61561271033,29504.780402160057,37423.6603525351,31015.33036211416,3421.034730796956,13575.930304023334,6077.829583654638
2016-02-11,10281.912520902666,7106.851139927974,62588.335717108224,29466.749186850462,37417.88791781861,30923.796153544048,3423.4346130902004,13616.64458786508,6088.405299726087
2016-02-12,10149.665357216041,7014.44825432927,61158.59410782558,29145.101963961846,36682.81210992759,30321.787578198033,3368.636086090073,13420.973102624883,6015.883158851454
2016-02-13,9211.041750872855,6546.11821499773,53057.276932222805,25788.59658307722,30737.551412327473,27536.25033434914,3109.206018392335,12040.406104291613,5270.003878905022
2016-02-14,8938.620281142623,6543.014238145035,50383.988053281086,24360.083083629812,28012.132155076524,27122.327988594778,3018.3551983674706,11647.932957684978,4999.5470572425775
2016-02-15,10108.061223579125,7099.518626248254,61428.084366070885,28596.7361199927,35708.365771662866,30592.348854453307,3348.7187292109766,13392.856067427781,5841.984057643737
2016-02-16,10253.106840570132,7149.269385930309,62440.23265380467,29399.87217228763,37251.55181450405,31061.625033310327,3409.8027692723244,13543.087084006827,6034.498340856759
2016-02-17,10250.12672904894,7164.385967184578,62636.61561271033,29504.780402160057,37423.6603525351,31015.33036211416,3421.034730796956,13575.930304023334,6077.829583654638
2016-02-18,10281.912520902666,7106.851139927974,62588.335717108224,29466.749186850462,37417.88791781861,30923.796153544048,3423.4346130902004,13616.64458786508,6088.405299726087
2016-02-19,10149.665357216041,7014.44825432927,61158.59410782558,29145.101963961846,36682.81210992759,30321.787578198033,3368.636086090073,13420.973102624883,6015.883158851454
2016-02-20,9211.041750872855,6546.11821499773,53057.276932222805,25788.59658307722,30737.551412327473,27536.25033434914,3109.206018392335,12040.406104291613,5270.003878905022
2016-02-21,8938.620281142623,6543.014238145035,50383.988053281086,24360.083083629812,28012.132155076524,27122.327988594778,3018.3551983674706,11647.932957684978,4999.5470572425775
2016-02-22,10108.061223579125,7099.518626248254,61428.084366070885,28596.7361199927,35708.365771662866,30592.348854453307,3348.7187292109766,13392.856067427781,5841.984057643737
2016-02-23,10253.106840570132,7149.269385930309,62440.23265380467,29399.87217228763,37251.55181450405,31061.625033310327,3409.8027692723244,13543.087084006827,6034.498340856759
2016-02-24,10250.12672904894,7164.385967184578,62636.61561271033,29504.780402160057,37423.6603525351,31015.33036211416,3421.034730796956,13575.930304023334,6077.829583654638
2016-02-25,10281.912520902666,7106.851139927974,62588.335717108224,29466.749186850462,37417.88791781861,30923.796153544048,3423.4346130902004,13616.64458786508,6088.405299726087
2016-02-26,10149.665357216041,7014.44825432927,61158.59410782558,29145.101963961846,36682.81210992759,30321.787578198033,3368.636086090073,13420.973102624883,6015.883158851454
2016-02-27,9211.041750872855,6546.11821499773,53057.276932222805,25788.59658307722,30737.551412327473,27536.25033434914,3109.206018392335,12040.406104291613,5270.003878905022
2016-02-28,8938.620281142623,6543.014238145035,50383.988053281086,24360.083083629812,28012.132155076524,27122.327988594778,3018.3551983674706,11647.932957684978,4999.5470572425775
2016-02-29,10108.061223579125,7099.518626248254,61428.084366070885,28596.7361199927,35708.365771662866,30592.348854453307,3348.7187292109766,13392.856067427781,5841.984057643737
2016-03-01,9808.0302521495,6935.686537931142,60407.26004642047,28727.224168538276,36439.3822409427,29849.514044699616,3340.796906358367,12735.875757260383,5894.146974794419
2016-03-02,9805.050140628307,6950.803119185411,60603.643005326136,28832.132398410704,36611.490778973755,29803.219373503445,3352.028867882999,12768.718977276889,5937.478217592298
2016-03-03,9836.835932482034,6893.268291928807,60555.36310972403,28794.10118310111,36605.718344257264,29711.685164933333,3354.4287501762433,12809.433261118635,5948.053933663748
2016-03-04,9704.58876879541,6800.865406330103,59125.62150044138,28472.453960212493,35870.64253636624,29109.676589587318,3299.6302231761156,12613.761775878438,5875.531792789115
2016-03-05,8765.965162452223,6332.535366998563,51024.30432483861,25115.948579327865,29925.381838766127,26324.139345738426,3040.2001554783774,11233.194777545168,5129.652512842683
2016-03-06,8493.54369272199,6329.431390145868,48351.01544589689,23687.43507988046,27199.962581515178,25910.216999984063,2949.349335453513,10840.721630938533,4859.195691180238
2016-03-07,9662.984635158493,6885.935778249087,59395.11175868669,27924.088116243347,34896.19619810152,29380.237865842595,3279.7128662970194,12585.644740681337,5701.632691581398
2016-03-08,9808.0302521495,6935.686537931142,60407.26004642047,28727.224168538276,36439.3822409427,29849.514044699616,3340.796906358367,12735.875757260383,5894.146974794419
