,heating_rate,heating_threshold,cooling_rate,cooling_threshold
Île-de-France,388.04696010010053,14.5,101.26755845071357,19.5
Centre-Val de Loire,108.78165745356081,15.0,24.705284788603244,20.0
Bourgogne-Franche-Comté,89.1900337477434,14.5,19.631098479347322,20.5
Normandie,154.4132577826009,14.5,15.065695510077921,18.5
Hauts-de-France,192.88991578827145,14.5,21.211605784658058,19.0
Grand Est,158.86382082160844,14.5,38.663943943373724,19.5
Pays de la Loire,169.36204682155483,14.5,25.96535419169224,19.5
Bretagne,158.45387837949082,14.5,21.395990367244472,21.0
Nouvelle-Aquitaine,260.7330352310649,15.0,70.85079919247376,20.5
Occitanie,263.2553801573178,13.0,115.30751925551847,19.5
Auvergne-Rhône-Alpes,287.215430438956,12.5,88.20333061274067,17.5
Provence-Alpes-Côte d'Azur,228.21577528369644,11.5,117.53424393079315,17.5
