tech,FR,ES,IT,CH,DE,BE,UK,NL,IE,PT
offshore_float,,,,,,,,,,
offshore_ground,,,,,,,,,,
onshore,,,,,,,,,,
pv_ground,,,,,,,,,,
pv_roof_com,,,,,,,,,,
pv_roof_indiv,,,,,,,,,,
river,7.6,4.5,13.0,8.2,3.9,0.1,2.2,0.04,0.2,0.8
marine,0.25,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waste,,,,,,,,,,
biomass_coge,,,,,,,,,,
geothermal_coge,,,,,,,,,,
ocgt_coge,,,,,,,,,,
nuclear,12.727467384213961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,,,,,,,,,,
ch4_ocgt,,,,,,,,,,
ch4_ccgt,,,,,,,,,,
h2_ccgt,,,,,,,,,,
lake,13.03119,11.7,9.0,7.9,0.4,0.0,0.0,0.0,0.0,2.8
phs,5.06,6.4,7.22,3.12,6.5,1.3,2.8,0.0,0.0,4.7
battery_1h,,,,,,,,,,
battery_2h,,,,,,,,,,
battery_4h,,,,,,,,,,
battery_8h,,,,,,,,,,
methanization,,,,,,,,,,
pyrogazification,,,,,,,,,,
biogas_import,,,,,,,,,,
H2_import,,,,,,,,,,
natural_gas,,,,,,,,,,
electrolysis,,,,,,,,,,
methanation,,,,,,,,,,
h2_saltcavern,,,,,,,,,,
ch4_reservoir,,,,,,,,,,
str_dummy,,,,,,,,,,
rsv_dummy,,,,,,,,,,
lost_load,,,,,,,,,,
