tech,FR,ES,IT,CH,DE,BE,UK,NL,IE,PT
offshore_float,,,,,,,,,,
offshore_ground,,,,,,,,,,
onshore,,,,,,,,,,
pv_ground,,,,,,,,,,
pv_roof_com,,,,,,,,,,
pv_roof_indiv,,,,,,,,,,
river,,,,,,,,,,
marine,,,,,,,,,,
waste,,,,,,,,,,
biomass_coge,,,,,,,,,,
geothermal_coge,,,,,,,,,,
ocgt_coge,,,,,,,,,,
nuclear,,,,,,,,,,
coal,,,,,,,,,,
ch4_ocgt,,,,,,,,,,
ch4_ccgt,,,,,,,,,,
h2_ccgt,,,,,,,,,,
lake,3819.3,1170.0,900.0,790.0,40.0,0.0,0.0,0.0,0.0,280.0
phs,140.0,128.0,144.4,62.400000000000006,130.0,26.0,56.0,0.0,0.0,94.0
battery_1h,,,,,,,,,,
battery_2h,,,,,,,,,,
battery_4h,,,,,,,,,,
battery_8h,,,,,,,,,,
methanization,,,,,,,,,,
pyrogazification,,,,,,,,,,
biogas_import,,,,,,,,,,
H2_import,,,,,,,,,,
natural_gas,,,,,,,,,,
electrolysis,,,,,,,,,,
methanation,,,,,,,,,,
h2_saltcavern,4000.0,,,,,,,,,
ch4_reservoir,118900.0,,,,,,,,,
str_dummy,,,,,,,,,,
rsv_dummy,,,,,,,,,,
lost_load,,,,,,,,,,
