tech,FR,ES,IT,CH,DE,BE,UK,NL,IE,PT
offshore_float,25.67147,6.7,8.6,0.0,40.4,5.0,54.6,37.2,16.4,4.5
offshore_ground,18.10886,4.1,5.3,0.0,24.7,3.0,33.4,22.8,10.0,2.7
onshore,72.96889,89.4,67.6,11.7,129.6,11.6,61.1,12.0,18.4,17.0
pv_ground,60.91269,50.1,59.4,13.6,125.8,17.0,36.2,24.2,5.9,10.9
pv_roof_com,69.92072,70.9,84.6,19.4,179.1,24.2,51.5,34.5,8.4,15.6
pv_roof_indiv,32.99132,30.6,36.0,8.2,76.2,10.3,21.9,14.7,3.6,6.6
river,7.6,4.5,13.0,8.2,3.9,0.1,2.2,0.04,0.2,0.8
marine,1.25,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waste,2.841376989468684,0.26,0.79,0.0,0.0,0.66,0.0,0.0,0.0,0.0
biomass_coge,0.0,0.23,0.57,0.0,0.4,0.37,0.26,0.15,0.03,0.46
geothermal_coge,0.135,1.43,1.3,0.0,0.05,0.0,0.0,0.0,0.0,0.0
ocgt_coge,1.9711362838075168,0.0,8.25430277485072,0.0,0.0,4.82,5.0,2.107481559536354,0.3,0.0
nuclear,12.727467384213961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch4_ocgt,,,,,,,,,,
ch4_ccgt,,,,,,,,,,
h2_ccgt,,,,,,,,,,
lake,13.03119,11.7,9.0,7.9,0.4,0.0,0.0,0.0,0.0,2.8
phs,7.0,6.4,7.22,3.12,6.5,1.3,2.8,0.0,0.0,4.7
battery_1h,,,,,,,,,,
battery_2h,,,,,,,,,,
battery_4h,,,,,,,,,,
battery_8h,,,,,,,,,,
methanization,,,,,,,,,,
pyrogazification,,,,,,,,,,
biogas_import,,,,,,,,,,
H2_import,,,,,,,,,,
natural_gas,,,,,,,,,,
electrolysis,,,,,,,,,,
methanation,,,,,,,,,,
h2_saltcavern,,,,,,,,,,
ch4_reservoir,,,,,,,,,,
str_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsv_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load,,,,,,,,,,
