tech,frr_requirements,carbon_content,carbon_footprint,co2_fraction,co2_usable,conversion_efficiency,efficiency_storage_in,efficiency_storage_out,ramp_rate,capacity_factor
offshore_float,0.032,,0.007,,,,,,,0.39
offshore_ground,0.032,,0.007,,,,,,,0.37
onshore,0.032,,0.013,,,,,,,0.29
pv_ground,0.014,,0.014,,,,,,,0.14
pv_roof_com,0.014,,0.014,,,,,,,0.12
pv_roof_indiv,0.014,,0.014,,,,,,,0.13
river,0.0,,0.006,,,,,,,0.3
marine,0.0,,0.0,,,,,,,0.45
waste,0.0,,0.0,,,,,,,0.173
biomass_coge,0.0,,0.0,,,,,,,0.4
geothermal_coge,0.0,,0.0,,,,,,,0.799
ocgt_coge,0.0,,0.098,,,0.4,,,,0.13
nuclear,,,0.006,,,,,,0.5,0.7
coal,,0.855,1.1,,,,,,1.84,
ch4_ocgt,,,0.081,,,0.4,,,8.18,
ch4_ccgt,,,0.12,,,0.6,,,3.44,
h2_ccgt,,,0.035,,,0.6,,,3.44,
lake,,,0.006,,,,,0.85,,
phs,,,0.006,,,,0.9,0.85,,
battery_1h,,,0.058,,,,1.0,0.9,,
battery_2h,,,0.058,,,,1.0,0.9,,
battery_4h,,,0.058,,,,1.0,0.9,,
battery_8h,,,0.058,,,,1.0,0.9,,
methanization,,,,0.42,0.514,,,,,
pyrogazification,,,,0.34,0.676,,,,,
biogas_import,,,,,,,,,,
H2_import,,,,,,,,,,
natural_gas,,0.2136,0.2136,,,,,,,
electrolysis,,,0.005,,,0.67191,,,,
methanation,,,,,,0.5565632103,,,,
h2_saltcavern,,,0.0,,,,1.0,1.0,,
ch4_reservoir,,,0.0,,,,1.0,1.0,,
str_dummy,,,0.0,,,,1.0,1.0,,
rsv_dummy,,,0.0,,,,,,,
lost_load,,,0.0,,,,,,,
