tech,BE,CH,DE,ES,IT,UK,IE,NL,PT,FR
offshore_float,18.070551689999995,0.0,155.50545908406664,16.77949762865714,18.308745832399996,209.93527315215,60.02598385879999,145.19426746940002,15.2912518245,84.14566106714167
offshore_ground,10.00501731,0.0,88.91253434266666,8.996104585,11.283296850199998,116.74141827914285,31.8986242,82.16829231599999,8.530842672,55.3545690963034
onshore,32.22022155733333,17.516234033999996,320.00938438628566,188.1541470441818,125.48475436342854,205.4869785388333,67.10903457599998,32.53206222,34.51527051,169.49942489795893
pv_ground,18.36724812,17.054143776,134.050489844,69.48324511199999,84.37434306840001,34.31396371,5.269776986,24.978540620000004,15.282167766,72.8993059873764
pv_roof_com,22.868010704000003,21.0538888,166.92304472999996,87.05586814200001,105.35685703199998,42.342316350000004,6.520667748000001,31.105157910000003,19.405746203999996,73.30364525125599
pv_roof_indiv,10.843223339,9.926743781999997,79.09527081600002,40.57735032,49.04956539,20.332272731999993,3.1627608120000006,14.824874883,8.861188578,38.1860362527192
river,0.12135684884287928,23.070722327810927,17.067210065288037,13.84375312799555,32.24861439441922,5.0816500387437005,0.6702332476676044,0.08571302587151734,0.27092969457070853,36.12610636074918
lake,0.0,13.810094349652601,0.39745973625733766,23.528858807664818,15.01020565136471,0.0,0.0,0.0,9.054018726333613,15.52971924447653
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.60636578874572
phs,1.3844747510591675,4.111067384023864,6.969412661208434,5.957924452487324,10.787528709446532,2.573218842492434,0.0,0.0,7.3212531057706585,7.1968435215978195
battery_1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_2h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_4h,7.261348097844696,2.247192024227377,23.047056551796896,27.128308877398933,43.94865973564563,13.773124790787596,2.275979606746829,4.839516083995142,2.554285230748279,7.813488991173316
battery_8h,3.8679448149110898,0.0,17.19327860803771,5.534068032851751,19.980269305315044,5.307024464664357,0.0,4.296173357781313,0.0,0.0
ch4_ocgt,2.567605194056792e-10,2.453067056726411e-10,2.506366174561123e-10,2.2346137377478723e-10,2.4858668926880445e-10,2.5167988632198197e-10,2.3693918237475207e-10,2.4466657901121235e-10,2.1856907125043936e-10,2.2671398556088031e-10
ch4_ccgt,0.02003674124300252,0.29864667200807904,10.215000936813563,0.8637002763072503,6.722634875725885,13.563561685484563,0.5303020478048981,4.509966433392764,0.05252906215945843,0.010837850852469714
h2_ccgt,7.418886436856929,1.8902122456537254,32.770115791230374,4.784474015158365,25.81009985350354,38.556320719153966,3.4151991177913876,15.238676510019221,0.48043826766934195,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_coge,1.2971864928000003,0.0,1.402363776,0.8063591712000001,1.9983683807999997,0.9115364544000001,0.10517728319999996,0.5258864159999999,1.6127183424000002,0.0
geothermal_coge,0.0,0.0,0.350000933382,10.010026694725198,9.100024267931998,0.0,0.0,0.0,0.0,0.9450025201314001
waste,1.00091601948294,0.0,0.0,0.39430025009934,1.1980661445326102,0.0,0.0,0.0,0.0,4.309060221438507
marine,0.0,0.0,0.0,14.599796699999999,0.0,0.0,0.0,0.0,0.0,4.9323637499999995
ocgt_coge,5.50930409476262,0.0,0.0,0.0,9.43474358441816,5.715045741455,0.3429027444872999,2.4088707024046365,0.0,2.253026804920317
str_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load,5.593106395183266e-12,5.596539302706599e-12,5.64834469464009e-12,5.623701412688534e-12,5.901245650280225e-12,5.632759251606766e-12,5.604978840683205e-12,5.61298945612909e-12,5.593018358435995e-12,5.633211939780155e-12
elec_trade_imports,29.06895363827259,9.105198715573815,57.11567495869302,35.597276701554634,15.575022104590701,51.988215280031326,7.604813693925819,22.337797515564453,8.816418979789631,97.46967325553565
