,0
offshore_float,5.062796841249809
offshore_ground,2.89723489755919
onshore,15.502857657664281
pv_ground,6.665025149856869
pv_roof_com,8.063092840197584
pv_roof_indiv,3.8480300166660695
river,0.7715177347917559
lake,0.4639821390944977
nuclear,0.4656381947324743
ocgt_coge,2.5150615798999074
natural_gas,0.0
H2_import,
coal,0.0
biomass_coge,0.0
geothermal_coge,0.0
waste,0.0
marine,0.0
rsv_dummy,0.0
ch4_ocgt,0.0
ch4_ccgt,4.4144659898150325
h2_ccgt,4.56275480349629
electrolysis,3.2978531913097537
phs,0.2778103405685174
battery_1h,0.0
battery_2h,0.0
battery_4h,7.823559679441153
battery_8h,3.2583679978465536
h2_saltcavern,0.0
ch4_reservoir,0.0
str_dummy,0.0
lost_load,0.0
biogas,0.0
elec_network,0.0
elec_network_primarygene,0.0
TOTAL,69.89004905418973
