area,tech,dual
FR,ch4_ocgt,-0.0
FR,ch4_ccgt,-0.0
FR,h2_ccgt,-0.0
FR,electrolysis,-0.0
FR,methanation,-0.0
FR,ocgt_coge,-0.0
BE,ch4_ocgt,-0.0
BE,ch4_ccgt,-0.0
BE,h2_ccgt,-0.0
BE,electrolysis,-0.0
BE,methanation,-0.0
BE,ocgt_coge,-0.0
DE,ch4_ocgt,-0.0
DE,ch4_ccgt,-0.0
DE,h2_ccgt,-0.0
DE,electrolysis,-0.0
DE,methanation,-0.0
DE,ocgt_coge,-0.0
CH,ch4_ocgt,-0.0
CH,ch4_ccgt,-0.0
CH,h2_ccgt,-0.0
CH,electrolysis,-0.0
CH,methanation,-0.0
CH,ocgt_coge,-0.0
IT,ch4_ocgt,-0.0
IT,ch4_ccgt,-0.0
IT,h2_ccgt,-0.0
IT,electrolysis,-0.0
IT,methanation,-0.0
IT,ocgt_coge,-0.0
ES,ch4_ocgt,-0.0
ES,ch4_ccgt,-0.0
ES,h2_ccgt,-0.0
ES,electrolysis,-0.0
ES,methanation,-0.0
ES,ocgt_coge,-0.0
UK,ch4_ocgt,-0.0
UK,ch4_ccgt,-0.0
UK,h2_ccgt,-0.0
UK,electrolysis,-0.0
UK,methanation,-0.0
UK,ocgt_coge,-0.0
NL,ch4_ocgt,-0.0
NL,ch4_ccgt,-0.0
NL,h2_ccgt,-0.0
NL,electrolysis,-0.0
NL,methanation,-0.0
NL,ocgt_coge,-0.0
IE,ch4_ocgt,-0.0
IE,ch4_ccgt,-0.0
IE,h2_ccgt,-0.0
IE,electrolysis,-0.0
IE,methanation,-0.0
IE,ocgt_coge,-0.0
PT,ch4_ocgt,-0.0
PT,ch4_ccgt,-0.0
PT,h2_ccgt,-0.0
PT,electrolysis,-0.0
PT,methanation,-0.0
PT,ocgt_coge,-0.0
