area,tech,dual
FR,offshore_float,-0.0
FR,offshore_ground,-0.0
FR,onshore,-183.44677828705716
FR,pv_ground,-62.71487406860973
FR,pv_roof_com,-36.5506833644686
FR,pv_roof_indiv,-0.0
FR,river,-514.4795653267408
FR,lake,-0.0
FR,nuclear,-265.2586712522414
FR,methanization,-0.0
FR,pyrogazification,-0.0
FR,natural_gas,-0.0
FR,coal,-0.0
FR,biomass_coge,-341.40517954177585
FR,geothermal_coge,-406.6180138521148
FR,waste,-219.2143583435868
FR,marine,-65.21691514192052
FR,rsv_dummy,-0.0
BE,offshore_float,-0.0
BE,offshore_ground,-0.0
BE,onshore,-223.86651766759633
BE,pv_ground,-50.051203619389916
BE,pv_roof_com,-26.18364566515489
BE,pv_roof_indiv,-0.0
BE,river,-21.062972731205438
BE,lake,-998.4246001873457
BE,nuclear,-1094.9896589631692
BE,methanization,-0.0
BE,pyrogazification,-0.0
BE,coal,-0.0
BE,biomass_coge,-187.38175901300554
BE,geothermal_coge,-626.404192640971
BE,waste,-212.85321334617853
BE,marine,-717.270153243112
BE,rsv_dummy,-0.0
DE,offshore_float,-14.585176706742374
DE,offshore_ground,-17.309140068439252
DE,onshore,-186.53270724046038
DE,pv_ground,-47.78617788109147
DE,pv_roof_com,-24.373978102914954
DE,pv_roof_indiv,-0.0
DE,river,-390.0332440532494
DE,lake,-0.0
DE,nuclear,-1094.8107911784584
DE,methanization,-0.0
DE,pyrogazification,-0.0
DE,coal,-0.0
DE,biomass_coge,-187.35371594915685
DE,geothermal_coge,-382.64950158716
DE,waste,-1212.998812960759
DE,marine,-717.220401342929
DE,rsv_dummy,-0.0
CH,offshore_float,-0.0
CH,offshore_ground,-0.0
CH,onshore,-99.25280347302777
CH,pv_ground,-67.92688601718386
CH,pv_roof_com,-39.97397905648775
CH,pv_roof_indiv,-0.0
CH,river,-209.81336456407377
CH,lake,-0.0
CH,nuclear,-1094.8107889055912
CH,methanization,-0.0
CH,pyrogazification,-0.0
CH,coal,-0.0
CH,biomass_coge,-455.261609654369
CH,geothermal_coge,-675.731658214648
CH,waste,-1262.3760304346206
CH,marine,-766.5976188167908
CH,rsv_dummy,-0.0
IT,offshore_float,-0.0
IT,offshore_ground,-0.0
IT,onshore,-158.1104597871182
IT,pv_ground,-98.9866027650434
IT,pv_roof_com,-67.42042359008796
IT,pv_roof_indiv,-7.388907048937829
IT,river,-243.580885480671
IT,lake,-0.0
IT,nuclear,-1293.7318160029142
IT,methanization,-0.0
IT,pyrogazification,-0.0
IT,coal,-0.0
IT,biomass_coge,-361.9000887071201
IT,geothermal_coge,-606.3465906544
IT,waste,-263.93169863095716
IT,marine,-997.1605834009998
IT,rsv_dummy,-0.0
ES,offshore_float,-0.0
ES,offshore_ground,-0.0
ES,onshore,-141.5127069623196
ES,pv_ground,-80.81057820184921
ES,pv_roof_com,-54.86583410080111
ES,pv_roof_indiv,-0.0
ES,river,-237.59570878833873
ES,lake,-0.0
ES,nuclear,-1094.8107898950377
ES,methanization,-0.0
ES,pyrogazification,-0.0
ES,coal,-0.0
ES,biomass_coge,-145.19683472999105
ES,geothermal_coge,-305.0876780898717
ES,waste,-196.08913461861374
ES,marine,-7.816139069754556
ES,rsv_dummy,-0.0
UK,offshore_float,-20.66102412464138
UK,offshore_ground,-4.050339981084328
UK,onshore,-291.96703978814736
UK,pv_ground,-55.757861108611486
UK,pv_roof_com,-29.479649302936917
UK,pv_roof_indiv,-0.0
UK,river,-188.5409127790297
UK,lake,-1034.7604569067648
UK,nuclear,-1095.1685450840093
UK,methanization,-0.0
UK,pyrogazification,-0.0
UK,coal,-0.0
UK,biomass_coge,-202.01765722801292
UK,geothermal_coge,-662.7400493603876
UK,waste,-1249.3844215803606
UK,marine,-753.6060099625304
UK,rsv_dummy,-0.0
NL,offshore_float,-17.497377372849385
NL,offshore_ground,-12.546587758704426
NL,onshore,-207.91532693266745
NL,pv_ground,-44.009247366453096
NL,pv_roof_com,-20.962082930034533
NL,pv_roof_indiv,-0.0
NL,river,-144.47229775331462
NL,lake,-998.3713753233608
NL,nuclear,-1094.8107953925924
NL,methanization,-0.0
NL,pyrogazification,-0.0
NL,coal,-0.0
NL,biomass_coge,-187.35428053209313
NL,geothermal_coge,-626.3509677769838
NL,waste,-1212.995339996957
NL,marine,-717.2169283791283
NL,rsv_dummy,-0.0
IE,offshore_float,-0.0
IE,offshore_ground,-0.0
IE,onshore,-338.0425243206465
IE,pv_ground,-50.75073925659046
IE,pv_roof_com,-24.880795769225227
IE,pv_roof_indiv,-0.0
IE,river,-344.72247542345343
IE,lake,-1034.702994558525
IE,nuclear,-1094.9896595035152
IE,methanization,-0.0
IE,pyrogazification,-0.0
IE,coal,-0.0
IE,biomass_coge,-201.9892264176004
IE,geothermal_coge,-662.6825870121478
IE,waste,-1249.3269592321208
IE,marine,-753.5485476142915
IE,rsv_dummy,-0.0
PT,offshore_float,-0.0
PT,offshore_ground,-0.0
PT,onshore,-137.83608764575203
PT,pv_ground,-83.09831137284534
PT,pv_roof_com,-57.065098403741125
PT,pv_roof_indiv,-0.0
PT,river,-0.0
PT,lake,-0.0
PT,nuclear,-1094.8107901759201
PT,methanization,-0.0
PT,pyrogazification,-0.0
PT,coal,-0.0
PT,biomass_coge,-145.18426486829085
PT,geothermal_coge,-529.2700109917739
PT,waste,-1115.9143832117459
PT,marine,-620.1359715939163
PT,rsv_dummy,-0.0
