area,tech,dual
FR,ch4_ocgt,79.35756568225517
FR,ch4_ccgt,120.08482047693465
FR,h2_ccgt,0.0
FR,electrolysis,62.02193203791425
FR,methanation,199.13084400007858
FR,ocgt_coge,459.6144818319592
BE,ch4_ocgt,79.35756590516104
BE,ch4_ccgt,120.08482379543979
BE,h2_ccgt,105.37121972982057
BE,electrolysis,60.02672557661487
BE,methanation,197.07416355684467
BE,ocgt_coge,462.811489599993
DE,ch4_ocgt,79.35756590516104
DE,ch4_ccgt,120.08482379543979
DE,h2_ccgt,105.38910173460134
DE,electrolysis,60.027390639065295
DE,methanation,197.1211488567044
DE,ocgt_coge,0.0
CH,ch4_ocgt,79.35756590516104
CH,ch4_ccgt,120.08482379543979
CH,h2_ccgt,74.03597120952963
CH,electrolysis,70.4920609483947
CH,methanation,209.75460447952008
CH,ocgt_coge,0.0
IT,ch4_ocgt,79.35756590516104
IT,ch4_ccgt,120.08482379543979
IT,h2_ccgt,35.70537471594632
IT,electrolysis,55.28982704105553
IT,methanation,132.79903565893287
IT,ocgt_coge,479.8824239816248
ES,ch4_ocgt,79.35756590516104
ES,ch4_ccgt,120.08482379543979
ES,h2_ccgt,116.10649151102186
ES,electrolysis,71.96251316647017
ES,methanation,211.5298054612178
ES,ocgt_coge,0.0
UK,ch4_ocgt,79.35756590516104
UK,ch4_ccgt,120.08303906140294
UK,h2_ccgt,96.7317655678255
UK,electrolysis,74.31779617157551
UK,methanation,214.3732169008675
UK,ocgt_coge,458.2123814890927
NL,ch4_ocgt,79.35756590516104
NL,ch4_ccgt,120.08482379543979
NL,h2_ccgt,105.38799407136894
NL,electrolysis,60.0337547613204
NL,methanation,197.12883192477474
NL,ocgt_coge,462.7687066143036
IE,ch4_ocgt,79.35756590516104
IE,ch4_ccgt,120.08406538890938
IE,h2_ccgt,96.7537439862136
IE,electrolysis,74.32343462876702
IE,methanation,214.38002391175596
IE,ocgt_coge,458.22009742889486
PT,ch4_ocgt,79.35756590516104
PT,ch4_ccgt,120.08482379543979
PT,h2_ccgt,116.1165498310265
PT,electrolysis,71.96563532381317
PT,methanation,211.53357465604327
PT,ocgt_coge,0.0
