area,tech,dual
FR,phs,155.9876861155196
FR,battery_1h,0.0
FR,battery_2h,0.0
FR,battery_4h,31.862168538074656
FR,battery_8h,0.0
FR,h2_saltcavern,2.5
FR,ch4_reservoir,0.0
FR,str_dummy,0.0
BE,phs,147.17944782903817
BE,battery_1h,0.0
BE,battery_2h,0.0
BE,battery_4h,32.85488274496039
BE,battery_8h,58.08535766927286
BE,h2_saltcavern,0.0
BE,ch4_reservoir,0.0
BE,str_dummy,0.0
DE,phs,147.1788364461888
DE,battery_1h,0.0
DE,battery_2h,0.0
DE,battery_4h,32.855551597854245
DE,battery_8h,58.086807724531866
DE,h2_saltcavern,0.0
DE,ch4_reservoir,0.0
DE,str_dummy,0.0
CH,phs,165.41152779620296
CH,battery_1h,0.0
CH,battery_2h,0.0
CH,battery_4h,39.44688887831015
CH,battery_8h,0.0
CH,h2_saltcavern,0.0
CH,ch4_reservoir,0.0
CH,str_dummy,0.0
IT,phs,136.34071666139977
IT,battery_1h,0.0
IT,battery_2h,0.0
IT,battery_4h,15.07116934376638
IT,battery_8h,21.835182192661787
IT,h2_saltcavern,0.0
IT,ch4_reservoir,0.0
IT,str_dummy,0.0
ES,phs,181.77899631888926
ES,battery_1h,0.0
ES,battery_2h,0.0
ES,battery_4h,53.656032469896196
ES,battery_8h,94.41589055874373
ES,h2_saltcavern,0.0
ES,ch4_reservoir,0.0
ES,str_dummy,0.0
UK,phs,172.14357437286833
UK,battery_1h,0.0
UK,battery_2h,0.0
UK,battery_4h,56.05978572210182
UK,battery_8h,96.3486839155781
UK,h2_saltcavern,0.0
UK,ch4_reservoir,0.0
UK,str_dummy,0.0
NL,phs,0.0
NL,battery_1h,0.0
NL,battery_2h,0.0
NL,battery_4h,32.85743939919784
NL,battery_8h,58.09025262255369
NL,h2_saltcavern,0.0
NL,ch4_reservoir,0.0
NL,str_dummy,0.0
IE,phs,0.0
IE,battery_1h,0.0
IE,battery_2h,0.0
IE,battery_4h,56.06338207812197
IE,battery_8h,0.0
IE,h2_saltcavern,0.0
IE,ch4_reservoir,0.0
IE,str_dummy,0.0
PT,phs,179.97547291181257
PT,battery_1h,0.0
PT,battery_2h,0.0
PT,battery_4h,53.65794275902546
PT,battery_8h,0.0
PT,h2_saltcavern,0.0
PT,ch4_reservoir,0.0
PT,str_dummy,0.0
