tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
offshore_float,41.25696732876711,,43.9400117218417,28.589071131767767,37.41768224254986,41.7822028196347,24.302784634703194,44.555613084094375,38.79059316210046,43.892333022260274
offshore_ground,38.07084212328767,,41.0924400304414,25.047623858447487,34.894602625570776,36.41395456621005,24.30278463470319,41.14009668949771,36.06816621004567,39.90013749184605
onshore,31.70782313546423,17.090342694063924,28.187308365949114,24.0254853569946,26.517121772820197,41.635047260273964,21.19044918460534,30.9475477739726,23.1770551369863,38.39184556697108
pv_ground,12.333634246575343,14.314853424657533,12.164202968036529,15.832090410958902,13.661912785388127,10.196147716894977,15.442960273972602,11.782775114155253,16.00495136986301,10.820771118721462
pv_roof_com,10.787204566210047,12.388721461187215,10.639386986301368,14.016762328767124,11.967834474885844,8.861529337899544,13.53938812785388,10.292223515981735,14.200434817351596,9.385626712328769
pv_roof_indiv,12.017581392694064,13.819389383561639,11.84926575342466,15.137639269406392,13.2129801369863,10.02904874429224,14.812871575342465,11.512498744292238,15.326533447488583,10.598336529680362
river,13.853521557406312,32.117610992052185,45.41519000672701,35.11860255706634,54.26295716286526,38.25532235545687,28.318066732015474,24.461479986163624,3.8660059156779183,26.36804710846669
lake,,19.95563023763453,11.343029002777902,22.95677595096673,13.604275591952995,,19.038819953532105,,36.91299219803332,
nuclear,,,,,69.60673250505127,,,,,
methanization,91.32420091324124,76.1035007610418,93.39975093399737,98.34913944502975,96.58668589281287,94.0102068224421,98.22661144738504,95.12937595129118,81.53946510111908,97.84735812132554
pyrogazification,,76.10350076104137,81.53946510110852,96.13073780342512,90.26312785387279,76.10350076104055,98.22661144738495,,93.3997509339824,95.12937595129122
ocgt_coge,13.048049638025114,,,,13.048049638025116,13.04804963802511,13.048049638025116,13.048049638025116,,13.048049638025114
natural_gas,,,,,,,,,,
biogas_import,0.01141552511415525,,0.01141552511415525,0.01141552511415525,,,0.011415525114155252,0.01141552511415525,,0.01141552511415525
H2_import,,,,,,,,,,
coal,,,,,,,,,,
biomass_coge,40.021797260273985,,40.02179726027398,40.02179726027397,,40.02179726027396,40.021797260273964,40.021797260273964,40.02179726027397,40.02179726027398
geothermal_coge,,,79.90888890000001,79.9088889,79.9088889,,79.90888889999998,,,
waste,17.31209387510274,,,17.31209387510274,17.31209387510274,,17.31209387510274,,,
marine,,,,45.04441780821917,45.04441780821917,,,,,
rsv_dummy,,,,,,,,,,
ch4_ocgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch4_ccgt,0.032675703266475085,2.0054168144512428,2.379787749700299,0.821632682940687,0.010309979882486409,1.008946057467462,4.039074066165516,2.2384189167127078,0.39976455220288,3.0967035811608588
h2_ccgt,16.93809688780121,21.577765361343896,14.963523192342636,9.10288054634392,,12.99543043299615,29.46358430765244,15.814317673328373,6.85556888797577,17.60562589915706
electrolysis,16.391349790463032,20.396227367863684,29.800135101082343,26.000594539336397,33.57551740219406,24.913504957928044,15.546527613297153,29.142919822154173,22.89635469925868,25.097863567965963
methanation,55.974057121507194,21.904958266841838,19.667732251738258,24.75138690599676,25.023075497952295,24.339314755829005,45.066353941770295,18.662200325456617,28.74329460830231,20.852666783449557
phs,12.157312531253666,15.04166441291953,12.239923886913301,10.627005658688862,11.736535423349348,,17.056136413068927,,17.782116743832358,10.490944400246386
battery_1h,,,,,,,,,,
battery_2h,,,,,,,,,,
battery_4h,8.289210157356958,7.773599087544546,7.972553117405873,8.369834899851577,5.9463386538609715,5.196300472024724,12.542425723643158,6.905702174650602,8.835911272825097,5.240915064987671
battery_8h,14.718207058261376,,14.019307410337337,15.793573153115728,,,22.808526604240917,12.260768715129318,,10.097078509635383
h2_saltcavern,,,,,34.17761060414213,,,,,
ch4_reservoir,,,,,0.7263607024749748,,,,,
str_dummy,,,,,,,,,,
lost_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
