technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biomass_coge,0.03,,0.10517728319999996,,6.059676792528018
methanization,1.7,,13.999999999998078,,1806.3858218067246
offshore_float,16.4,,60.02598385879999,,-112.35939665604838
offshore_ground,10.0,,31.8986242,,-447.4284277867141
onshore,18.4,,67.10903457599998,,6219.982448049676
pv_ground,5.9,,5.269776986,,299.4293616203759
pv_roof_com,8.4,,6.520667748000001,,208.99868446907442
pv_roof_indiv,3.6,,3.1627608120000006,,-126.42650418069542
pyrogazification,0.3,,2.0000000000001457,,84.7245467643182
river,0.2,,0.6702332476676044,,99.49437912813345
ch4_ccgt,6.0,,0.5303020478048981,0.3535346985365988,-720.5043923312953
ch4_ocgt,1.0,,0.0,3.554087735621282e-10,-79.35756596939282
electrolysis,26.0,,56.742998892176914,27.70729786211595,-1932.4092981306067
h2_ccgt,3.0,,3.4151991177913876,2.276799411860927,-290.2612319956904
methanation,7.5,,15.990929794579655,12.740631147007173,-1607.850179164653
ocgt_coge,0.3,,0.3429027444872999,0.51435411673095,12.553921497034366
battery_4h,5.0,20.0,2.275979606746829,0.25288662297187026,-280.31652257571295
