technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biogas_import,27642.970629609663,,27.642970629609664,,538.0399219465311
biomass_coge,0.57,,1.9983683807999997,,206.28305056305857
geothermal_coge,1.3,,9.100024267931998,,788.2505678600841
lake,9.0,,15.01020565136471,,2992.7126978177344
methanization,4.3,,37.000000000000995,,5561.044487525418
offshore_float,8.6,,18.308745832399996,,-1207.3262039384667
offshore_ground,5.3,,11.283296850199998,,-561.9184741812617
onshore,67.6,,125.48475436342854,,10688.267081889147
pv_ground,62.370000000000005,,84.37434306840001,,6173.794414700689
pv_roof_com,88.83,,105.35685703199998,,5988.956227826328
pv_roof_indiv,37.8,,49.04956539,,279.30068659190147
pyrogazification,4.3,,37.000000000000966,,3022.8826772628818
river,13.0,,32.24861439441922,,5152.293974072498
waste,0.79,,1.1980661445326102,,208.5060419195164
ch4_ccgt,19.0,,6.722634875725885,4.4817565838172575,-2281.6116516154425
ch4_ocgt,3.0,,0.0,3.7288003390320675e-10,-238.07269778637024
electrolysis,27.0,,36.77064711097043,17.954907071837425,-1492.8253193844453
h2_ccgt,10.0,,25.81009985350354,17.20673323566903,-357.0537449387348
methanation,4.0,,15.791250421196311,12.581538381506755,-531.1961415361825
ocgt_coge,8.25430277485072,,9.43474358441816,14.152115376627235,625.6976781562823
battery_4h,40.0,160.0,43.94865973564563,4.883184415072257,-602.84676199981
battery_8h,10.0,80.0,19.980269305315044,2.220029922810273,-218.35181849208402
phs,7.22,144.4,10.787528709446532,0.15520621412768598,1555.6658580855749
