technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biogas_import,41405.84201696968,,41.40584201696968,,0.0
biomass_coge,0.26,,0.9115364544000001,,52.52459087928334
methanization,4.2,,35.999999999998096,,4704.423795195433
offshore_float,54.6,,209.93527315215,,1128.0919187996406
offshore_ground,33.4,,116.74141827914285,,135.281356326248
onshore,61.1,,205.4869785388333,,17839.186132873303
pv_ground,36.2,,34.31396371,,2018.4345721714617
pv_roof_com,51.5,,42.342316350000004,,1518.2019391478675
pv_roof_indiv,21.9,,20.332272731999993,,-677.5480634321902
pyrogazification,2.4,,19.999999999999464,,1200.1963742407163
river,2.2,,5.0816500387437005,,750.8387325917354
ch4_ccgt,50.0,,13.563561685484563,9.042374456989707,-6004.151945347099
ch4_ocgt,9.0,,0.0,3.7751982948297285e-10,-714.2180932145902
electrolysis,44.0,,96.737205336368,47.23625143071091,-3269.9830135035136
h2_ccgt,25.0,,38.556320719153966,25.704213812769332,-2418.2941299212507
methanation,7.6,,13.882871437749378,11.06105439282466,-1629.2364451319395
ocgt_coge,5.0,,5.715045741455,8.5725686121825,209.27060469817945
battery_4h,30.0,120.0,13.773124790787596,1.5303471989765054,-1681.7860675244601
battery_8h,6.0,48.0,5.307024464664357,0.5896693849627193,-578.0891678405774
phs,2.8,56.0,2.573218842492434,0.7904659189358583,302.61077947565246
