area,H2_import,biogas_import,biomass_coge,coal,geothermal_coge,lake,lost_load,marine,methanization,natural_gas,nuclear,offshore_float,offshore_ground,onshore,pv_ground,pv_roof_com,pv_roof_indiv,pyrogazification,river,rsv_dummy,waste,ch4_ccgt,ch4_ocgt,electrolysis,h2_ccgt,methanation,ocgt_coge,battery_1h,battery_2h,battery_4h,battery_8h,ch4_reservoir,h2_saltcavern,phs,str_dummy
BE,0.0,4674.484626351639,34.2108942828,0.0,0.0,0.0,0.0,0.0,148.8749999999979,0.0,0.0,501.5,239.70000000000002,371.2,260.1,431.97,486.1600000000001,0.0,7.532650596856962,0.0,0.0,329.0,23.0,90.0,255.0,194.25,255.47227047381313,0.0,0.0,240.0,120.0,0.0,0.0,96.2,0.0
CH,0.0,0.0,0.0,0.0,0.0,584.6,0.0,0.0,86.22500000000058,0.0,0.0,0.0,0.0,374.4,208.08,346.29,387.03999999999996,364.91250000000184,623.8750832788227,0.0,0.0,79.89999999999999,6.8999999999999995,195.0,51.0,116.55,0.0,0.0,0.0,79.19999999999999,0.0,0.0,0.0,230.88,0.0
DE,0.0,116.05371061802013,36.984750576,0.0,7.5375000000000005,29.6,0.0,0.0,1645.3749999999982,0.0,0.0,4052.12,1973.53,4147.2,1924.74,3196.935,3596.6400000000003,2202.6562499999764,329.48535536210966,0.0,0.0,2303.0,184.0,1110.0,1275.0,1165.5,0.0,0.0,0.0,792.0,560.0,0.0,0.0,481.0,0.0
ES,0.0,2376.7670916336447,21.266231581200003,0.0,215.5725,865.8,0.0,1271.875,983.1874999999966,0.0,0.0,672.01,327.59,2860.8,766.5300000000001,1265.5650000000003,1444.3200000000002,1303.556250000052,341.7892060714227,0.0,0.0,564.0,46.0,555.0,306.0,339.9375,0.0,0.0,0.0,888.0,160.0,0.0,0.0,473.6,0.0
FR,0.0,0.0,0.0,0.0,20.35125,964.3080600000001,0.0,429.6875,2862.5656599998747,0.0,1955.4542490447484,2574.8484409999996,1446.8979140000001,2335.00448,931.964157,1248.0848520000002,1557.1903040000002,663.2605199965346,588.2956110298322,0.0,0.0,564.0,92.0,300.0,0.0,339.9375,104.47524104514953,0.0,0.0,360.0,0.0,17.221536913813384,155.06494677291533,518.0,0.0
IE,0.0,0.0,2.7738562931999997,0.0,0.0,0.0,0.0,0.0,254.63749999999163,0.0,0.0,1644.9199999999998,799.0,588.8,90.27000000000001,149.94000000000003,169.92000000000002,182.45624999999035,15.150871107768017,0.0,0.0,282.0,23.0,390.0,153.0,728.4375,15.9007637224365,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,6457.0066846538675,52.70326957079999,0.0,195.975,666.0,0.0,0.0,650.2375000000013,0.0,0.0,862.5799999999999,423.47,2163.2,954.2610000000001,1585.6155,1784.16,2985.2062500000065,982.7894358768849,0.0,0.0,893.0,69.0,405.0,510.0,388.5,437.4990603878442,0.0,0.0,960.0,400.0,0.0,0.0,534.28,0.0
NL,0.0,12869.823097986631,13.869281465999999,0.0,0.0,0.0,0.0,0.0,180.1999999999972,0.0,0.0,3731.1600000000003,1821.7200000000003,384.0,370.26,615.825,693.84,0.0,3.029438877762296,0.0,0.0,1081.0,92.0,465.0,561.0,835.275,111.70188775859853,0.0,0.0,192.0,160.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,42.532463162400006,0.0,0.0,207.2,0.0,0.0,101.88750000000137,0.0,0.0,451.34999999999997,215.73000000000002,544.0,166.77,278.46000000000004,311.52,743.0062499999224,59.32284351439377,0.0,0.0,70.5,6.8999999999999995,165.0,40.800000000000004,126.2625,0.0,0.0,0.0,79.19999999999999,0.0,0.0,0.0,347.8,0.0
UK,0.0,9304.332862746753,24.0400878744,0.0,0.0,0.0,0.0,0.0,634.5749999999915,0.0,0.0,5476.38,2668.66,1955.2,553.86,919.2750000000001,1033.68,1637.2499999999563,165.82330318872926,0.0,0.0,2350.0,207.0,660.0,1275.0,738.15,265.012728707275,0.0,0.0,720.0,240.0,0.0,0.0,207.2,0.0
