area,tech,dual
FR,phs,-0.0
FR,battery_1h,-1308.8371341887066
FR,battery_2h,-1306.8371341887066
FR,battery_4h,-0.0
FR,battery_8h,-1282.8371341887066
FR,h2_saltcavern,-0.0
FR,ch4_reservoir,-0.0
FR,str_dummy,-0.0
BE,phs,-0.0
BE,battery_1h,-1231.5153083496555
BE,battery_2h,-1229.5153083496555
BE,battery_4h,-0.0
BE,battery_8h,-0.0
BE,str_dummy,-0.0
DE,phs,-0.0
DE,battery_1h,-1231.4508184334911
DE,battery_2h,-1229.450818433491
DE,battery_4h,-0.0
DE,battery_8h,-0.0
DE,str_dummy,-0.0
CH,phs,-0.0
CH,battery_1h,-1258.716549333929
CH,battery_2h,-1256.716549333929
CH,battery_4h,-0.0
CH,battery_8h,-1232.7165493339287
CH,str_dummy,-0.0
IT,phs,-0.0
IT,battery_1h,-1442.5365564328258
IT,battery_2h,-1440.5365564328256
IT,battery_4h,-0.0
IT,battery_8h,-0.0
IT,str_dummy,-0.0
ES,phs,-0.0
ES,battery_1h,-1211.558967837313
ES,battery_2h,-1209.5589678373128
ES,battery_4h,-0.0
ES,battery_8h,-0.0
ES,str_dummy,-0.0
UK,phs,-0.0
UK,battery_1h,-1327.8517163532824
UK,battery_2h,-1325.8517163532822
UK,battery_4h,-0.0
UK,battery_8h,-0.0
UK,str_dummy,-0.0
NL,phs,-1030.8315233748622
NL,battery_1h,-1231.4554880545454
NL,battery_2h,-1229.4554880545454
NL,battery_4h,-0.0
NL,battery_8h,-0.0
NL,str_dummy,-0.0
IE,phs,-1127.1531529076017
IE,battery_1h,-1327.7771175836926
IE,battery_2h,-1325.7771175836926
IE,battery_4h,-0.0
IE,battery_8h,-1301.7771175836926
IE,str_dummy,-0.0
PT,phs,-0.0
PT,battery_1h,-1211.5242638580798
PT,battery_2h,-1209.5242638580798
PT,battery_4h,-0.0
PT,battery_8h,-1185.52426385808
PT,str_dummy,-0.0
