area,H2_import,biogas_import,biomass_coge,coal,geothermal_coge,lake,lost_load,marine,methanization,natural_gas,nuclear,offshore_float,offshore_ground,onshore,pv_ground,pv_roof_com,pv_roof_indiv,pyrogazification,river,rsv_dummy,waste,ch4_ccgt,ch4_ocgt,electrolysis,h2_ccgt,methanation,ocgt_coge,battery_1h,battery_2h,battery_4h,battery_8h,ch4_reservoir,h2_saltcavern,phs,str_dummy
BE,0.0,0.0,121.22926230085396,0.0,0.0,0.0,0.0,0.0,346.6848108219043,0.0,0.0,2165.7861912943285,1196.3784719344499,1029.9719326969278,1022.2790753554514,1683.2179934444684,1500.528768893692,0.0,0.0,0.0,0.0,840.5937665680785,79.35756590516104,499.80861639744046,701.7894893110383,450.4374020993773,565.8993068619002,0.0,0.0,240.0,120.0,0.0,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.01088649314258,0.0,0.0,0.0,0.0,1038.851001082246,817.823260284361,1349.3565732571358,1194.595718925075,352.95090652976984,0.0,0.0,0.0,204.14420045224765,23.80726977154831,1082.918668861121,140.35789786220766,270.26244125962637,0.0,0.0,0.0,79.19999999999999,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,131.05866194686914,0.0,29.33221861099861,0.0,0.0,0.0,3813.5329190409475,0.0,0.0,17499.552425658174,9850.182752260303,11507.272627372571,7564.86515763034,12457.204240739848,11100.99924171838,2058.880288090324,59.57227388471338,0.0,0.0,5884.15636597655,634.8605272412883,6164.306268901765,3508.9474465551916,2702.624412596264,0.0,0.0,0.0,792.0,560.0,0.0,0.0,0.0,0.0
ES,0.0,0.0,75.35873061944976,0.0,838.9014522745601,0.0,0.0,0.0,2253.451270342378,0.0,0.0,2902.1534963344,1635.0505783104147,7937.887136474598,3012.7165691357714,4931.411394017059,4457.881585256988,1117.6778706776045,0.0,0.0,0.0,1441.0178855452775,158.71513181032208,3082.1531344508826,842.147387173246,788.2654536739103,0.0,0.0,0.0,888.0,160.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,0.0,79.19699024969626,0.0,0.0,495.77841161782965,6587.011405616182,0.0,0.0,11119.783047245322,7221.68341842496,6478.957643107718,3662.927553565485,4863.29809994184,4806.254833376489,588.2515108829498,0.0,0.0,0.0,1441.0178855452775,317.43026362064415,1666.0287213248014,0.0,788.2654536739103,231.42420264253434,0.0,0.0,360.0,0.0,0.0,17.5,416.3704914667763,0.0
IE,0.0,0.0,9.829399646015185,0.0,0.0,0.0,0.0,0.0,589.3641783972373,0.0,0.0,7103.778707445396,3987.9282397814995,1633.7485828985748,354.7909732115979,584.2574853278321,524.4566570890573,176.47545326488492,0.0,0.0,0.0,720.5089427726388,79.35756590516104,2165.837337722242,421.073693586623,1689.140257872665,35.221948559869304,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,186.7585932742885,0.0,762.6376838859638,0.0,0.0,0.0,1490.7446865341885,0.0,0.0,3725.1522490262446,2113.6019670841947,6002.250228475199,3750.5615252893826,6178.522907341824,5506.794899435102,2529.481496796684,0.0,0.0,0.0,2281.611652113356,238.07269771548312,2249.138773788482,1403.5789786220766,900.8748041987546,969.1087591112616,0.0,0.0,960.0,400.0,0.0,0.0,0.0,0.0
NL,0.0,0.0,49.14699823007593,0.0,0.0,0.0,0.0,0.0,416.02177298628516,0.0,0.0,16113.449263229804,9092.47638670182,1065.4882062382012,1455.244330800113,2399.628957596453,2141.531349780317,0.0,0.0,0.0,0.0,2761.950947295115,317.43026362064415,2582.3445180534422,1543.9368764842843,1936.8808290273223,247.43202360287535,0.0,0.0,192.0,160.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,150.71746123889952,0.0,0.0,0.0,0.0,0.0,242.679367575333,0.0,0.0,1949.2075721648955,1076.740624741005,1509.4416255041183,655.461289492613,1085.049615608831,961.5038713299384,647.0766619712448,0.0,0.0,0.0,180.1272356931597,23.80726977154831,916.3157967286407,112.28631828976614,292.7843113645953,0.0,0.0,0.0,79.19999999999999,0.0,0.0,0.0,0.0,0.0
UK,0.0,0.0,85.18813026546495,0.0,0.0,0.0,0.0,0.0,1456.0762054519982,0.0,0.0,23650.385208934065,13319.680320870208,5425.110783429507,2176.8530898745494,3582.0548207599227,3190.444663958432,1411.8036261190794,0.0,0.0,0.0,6004.241189771989,714.2180931464493,3665.263186914563,3508.9474465551916,1711.6621279776336,587.0324759978217,0.0,0.0,720.0,240.0,0.0,0.0,0.0,0.0
