area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,0.0,0.0,0.0,665.7887598136459,374.50617739517577,0.0,0.0,0.0
CH,0.0,0.0,0.0,219.71029073850315,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.0,2197.1029073850314,1747.6954945108203,0.0,0.0,0.0
ES,0.0,0.0,0.0,2463.41841131049,499.34156986023436,0.0,0.0,0.0
FR,186.46737715718825,0.0,0.0,998.6831397204688,0.0,79.5648760135976,0.0,0.0
IE,0.0,0.0,0.0,332.89437990682296,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,2663.1550392545837,1248.353924650586,0.0,0.0,0.0
NL,0.0,0.0,0.0,532.6310078509167,499.34156986023436,0.0,0.0,0.0
PT,0.0,0.0,0.0,219.71029073850315,0.0,0.0,0.0,0.0
UK,0.0,0.0,0.0,1997.3662794409377,749.0123547903515,0.0,0.0,0.0
