,FR,BE,DE,CH,IT,ES,UK,NL,IE,PT
total system cost [1e9€],462.44177407503065,462.44177407503065,462.44177407503065,462.44177407503065,462.44177407503065,462.44177407503065,462.44177407503065,462.44177407503065,462.44177407503065,462.44177407503065
elec_demand_tot [TWh],524.6017824825686,114.98196464475085,652.0104574373137,70.80712363804275,408.7402249791604,334.9121746030604,539.4669525041539,210.56882275555233,45.619771404812745,72.8872626099141
H2_demand_tot [TWh],46.296599999999984,25.89999999999999,148.40000000000003,5.5,30.300000000000008,58.6,56.29999999999998,44.39999999999999,19.200000000000006,7.399999999999999
CH4_demand_tot [TWh],144.8001078006742,41.0,111.99999999999999,6.999999999999999,99.0,84.0,87.0,75.0,7.9999999999999964,12.0
elec_price_weighted_by_demand [€/MWh],153.33306179988327,143.4586287356131,143.51280370722682,152.4084703802836,167.65160060655074,139.7260405243996,157.4497133055897,146.3088376908349,157.97445748107043,140.01533875652757
CH4_price_weighted_by_demand [€/MWh],175.00000000100204,175.0350072443634,175.0175028771943,175.01750283079497,189.5062067431887,175.01750274701433,175.0175028844327,175.0175028060814,175.00000000217605,175.0000000201118
H2_price_weighted_by_demand [€/MWh],144.97224817543167,144.97224817543173,144.97224817543167,144.97224817543167,144.97224817543162,144.9722481754317,144.97224817543176,144.97224817543173,144.97224817543162,144.97224817543164
load_shifted [TWh],22.28233353934288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_shifted [%],4.247475758449843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attributed_cost [1e9€],65.4655108168283,21.598447222998864,99.75829889571891,9.48829395006866,57.82962180127237,44.096315828906256,91.87795691768446,56.1942167266405,15.312115710381331,9.682703376617189
primary_gene_elec [TWh],604.499515595934,106.6487088055874,952.6710889604597,100.69203806731903,472.01874979667053,490.16728117845724,612.2623720638096,319.7608442892197,169.1625546900288,115.22678422336934
gene_elec [TWh],607.0159921472987,121.20887631491706,1002.9595582809927,104.03851314675521,510.3127844272439,502.1874831558161,675.9845131373233,345.8764430557812,177.1049487166937,117.12196108164135
gene_curtailed [TWh],0.3714410482335028,1.4721130981819934,2.0212329336442356,0.029238784078727653,3.403492551933601,0.5976339632569042,0.02038156302095307,1.3921580474775235,0.02046017432645466,0.5120483819447587
gene_curtailed [%],0.061446045637824034,1.3803384163473982,0.21216482341767867,0.029037831232673693,0.7210502873878863,0.12192449112883998,0.0033288936166779356,0.43537477222143367,0.012094978326583922,0.44438312272270225
imports [TWh/yr],115.80746802895126,34.36623651447704,53.46216602441318,9.14975959449205,13.080070883661351,32.12822460486623,57.61963515023347,22.21858584344434,3.974510250984176,12.472213795418316
exports [TWh/yr],90.96274687418513,9.014025437948549,94.58151884562604,6.414363901768819,8.267639807649081,46.85023555283758,32.744142115415926,19.061405707420565,29.479193248522122,16.9390306297797
net_imports [TWh/yr],24.844721154766134,25.35221107652849,-41.11935282121286,2.7353956927232304,4.81243107601227,-14.722010947971349,24.875493034817545,3.1571801360237757,-25.504682997537948,-4.466816834361385
lost_load [TWh/yr],2.2005695990075788e-11,2.2583086242259154e-11,2.3772556484047287e-11,2.2503057337230802e-11,5.1567312082241756e-11,2.2348386960087994e-11,2.3284473662787193e-11,2.2933909191363346e-11,2.2728141017056766e-11,2.2167614619733368e-11
lost_load [% of demand],4.194742893540776e-12,1.9640546508343314e-11,3.64603914137878e-12,3.1780781623419194e-11,1.2616157875058885e-11,6.672909692391868e-12,4.316200196268352e-12,1.0891407802563031e-11,4.9820813031647536e-11,3.0413564491195665e-11
primary_gene_CH4 [TWh],168.66592999988958,34.71134072200883,115.66316406067337,8.000000000000194,110.89718105516546,85.58152623790683,109.16761635854968,83.54184627420861,15.999999999997625,13.999999999998606
gene_CH4 [TWh],172.69926270127624,44.5024464925935,131.48073580547342,9.590864870875523,125.33209373707597,89.9189363015547,120.18313029030057,89.34167976439792,17.071078814609038,14.673250326506679
gene_H2 [TWh],80.51688404862007,7.289495489117461,183.30301011777462,23.19730998620552,47.27466543583531,92.65765515182596,93.17029050653935,84.38737165854901,69.72766203476526,27.18112528130372
biogas_import [TWh/yr],0.0,26.711340722009368,0.6631640606744008,0.0,36.897181055164964,13.581526237906541,53.16761635855288,73.54184627420932,0.0,0.0
H2_import [TWh/yr],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4_imports [TWh/yr],0.0,10.288659193117887,0.33683593179307963,0.0,7.102818944820432,1.4184736971925718,3.8323836322684994,1.458153712765163,0.0,0.0
