technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biogas_import,26711.34072200937,,26.711340722009368,,0.9350904319314886
biomass_coge,0.37,,1.2971864928000003,,65.97691133823862
methanization,1.0,,7.99999999999946,,1022.5952471329109
offshore_float,5.0,,17.328805284999998,,-147.8314711006069
offshore_ground,3.0,,9.67675539,,-85.23999068266835
onshore,11.6,,30.82307568133333,,2412.740705009707
pv_ground,17.0,,16.29397623,,620.1636125379091
pv_roof_com,24.2,,20.350851575999997,,370.7129917148877
pv_roof_indiv,10.3,,9.664901175999999,,-519.4164913895999
river,0.1,,0.21224095497113962,,29.90016455742407
waste,0.66,,1.00091601948294,,143.9617666571324
ch4_ccgt,7.0,,0.010706933001782255,0.007137955334521507,-840.5937669112207
ch4_ocgt,1.0,,0.0,1.9013843774047886e-09,-79.35756624686425
electrolysis,6.0,,7.289495489117461,3.5594210162440634,-348.93683737988454
h2_ccgt,5.0,,9.040156481565255,6.026770987710167,-517.7649294844191
methanation,2.0,,9.791105770584672,7.800976475216391,-389.6386371015444
ocgt_coge,4.82,,5.50930409476262,8.263956142143929,198.957511166877
battery_4h,10.0,40.0,7.05598707594956,0.7839985639944329,-312.60689207830046
battery_8h,3.0,24.0,3.8021838149076244,0.4224648683225123,-155.76973776251407
phs,1.3,26.0,1.495973666966711,0.45954746632334387,190.37083860920373
