technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
lake,7.9,,13.811276585202748,,1782.042111514908
methanization,0.6,,4.000000000000152,,476.5591248300632
onshore,11.7,,15.250836041999998,,813.0019475487866
pv_ground,13.6,,15.652057352,,836.8426130964186
pv_roof_com,19.4,,19.531513764,,680.5053880821167
pv_roof_indiv,8.2,,9.126221077999999,,-223.52393587414872
pyrogazification,0.6,,4.000000000000042,,169.5191047934157
river,8.2,,27.320133246116303,,3563.548054147211
ch4_ccgt,1.7,,1.5545187078243525,1.036345805216235,-204.07881577193862
ch4_ocgt,0.3,,0.0,1.7919052352219692e-09,-23.807270086496253
electrolysis,13.0,,23.19730998620552,11.327120348520143,-977.3262170079697
h2_ccgt,1.0,,1.7919563716118125,1.1946375810745418,-75.51215462094433
methanation,1.2,,1.5908648708753286,1.2675074423392236,-258.49539757583346
battery_4h,3.3,13.2,2.2602440843555733,0.2511382315951023,-153.7132121624652
phs,3.12,62.400000000000006,4.101458205264948,-1.6963944609612445,475.14563771475986
