technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biogas_import,663.1640606744008,,0.6631640606744008,,0.011607279113652046
biomass_coge,0.4,,1.402363776,,71.31461588788
geothermal_coge,0.05,,0.350000933382,,20.429076929309403
lake,0.4,,0.38381788683556844,,107.45108106945032
methanization,11.0,,89.9999999999995,,11589.292339906453
offshore_float,40.4,,155.89456227086663,,560.0947712498892
offshore_ground,24.7,,89.84924339299998,,497.352178482668
onshore,129.6,,325.6282788479999,,25828.98615156795
pv_ground,125.8,,126.556400176,,5278.244560806412
pv_roof_com,179.1,,158.740146621,,3661.3448198391925
pv_roof_indiv,76.2,,74.62570647599999,,-3473.7542912989957
pyrogazification,3.5,,24.99999999999946,,1206.557283839462
river,4.29,,19.24056857937545,,2639.464983025382
ch4_ccgt,49.0,,11.89054303031516,7.927028686876772,-5884.156365267925
ch4_ocgt,8.0,,0.0,2.1819118796833657e-09,-634.8605276383046
electrolysis,74.0,,183.30301011777462,89.5058632696948,-4303.573611760014
h2_ccgt,25.0,,38.397926290218024,25.598617526812,-2589.3641601314575
methanation,12.0,,15.817571744800059,12.602509662079196,-2338.3487852506128
battery_4h,33.0,132.0,22.970596996903314,2.5522885552118026,-1031.6449750537122
battery_8h,14.0,112.0,17.16561793971688,1.9072908821894465,-726.9626964568738
phs,6.5,130.0,7.473748727375079,2.1199808585505595,974.0066238588101
