technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biogas_import,13581.52623790654,,13.581526237906541,,0.23771401781072415
biomass_coge,0.23,,0.8063591712000001,,45.157070538908314
geothermal_coge,1.43,,10.010026694725198,,561.5412399641802
lake,11.7,,20.684605259985013,,2758.6294244427277
marine,3.7,,14.599796699999999,,2045.8020990927232
methanization,6.5,,55.999999999999126,,7330.528883490276
offshore_float,6.7,,16.71875340717143,,-995.310243609857
offshore_ground,4.1,,8.821043154,,-690.4384393606906
onshore,89.4,,195.14855743799998,,14219.404497926127
pv_ground,50.1,,73.884261075,,4693.586642309415
pv_roof_com,70.9,,91.96560380800001,,4570.612722325182
pv_roof_indiv,30.6,,43.071244506,,41.669350683584526
pyrogazification,1.9,,16.000000000001165,,972.2021732747785
river,4.5,,14.062729714276339,,1924.8109713753881
waste,0.26,,0.39430025009934,,56.108065537344515
ch4_ccgt,12.0,,4.402445585190101,2.9349637234600676,-1441.0178824980792
ch4_ocgt,2.0,,0.0,1.8532853883073182e-09,-158.71513215031456
electrolysis,37.0,,92.65765515182596,45.244229255052886,-2289.8561661664116
h2_ccgt,6.0,,7.6177563921686815,5.078504261445788,-605.3283050808939
methanation,3.5,,4.3374100636478605,3.455792906612966,-697.7858022654257
battery_4h,37.0,148.0,33.13154186945726,3.6812824299397633,-1192.092577180185
battery_8h,4.0,32.0,6.64862755906127,0.7387363954474537,-221.38550219007243
phs,6.4,128.0,7.470997866729112,1.8405574402584346,760.9462021957096
