technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biogas_import,73541.84627420933,,73.54184627420932,,1.2871886742055154
biomass_coge,0.15,,0.5258864159999999,,26.74312083552217
methanization,1.2,,9.999999999999286,,1295.4032550744062
offshore_float,37.2,,140.97234719479997,,20.87307253545623
offshore_ground,22.8,,79.753866784,,-75.34794909847915
onshore,12.0,,32.93470497,,2477.733631760597
pv_ground,24.2,,23.059455451999998,,929.7796203008279
pv_roof_com,34.5,,28.634405220000005,,545.1966393375869
pv_roof_indiv,14.7,,13.769076047999999,,-703.9220790570048
river,0.04,,0.11110220441967394,,15.767719922162996
ch4_ccgt,23.0,,5.8665939849612485,3.9110626566408353,-2761.9341732237367
ch4_ocgt,4.0,,0.0,2.049367914421964e-09,-317.4302639939901
electrolysis,31.0,,84.38737165854901,41.20589478866714,-1802.9771607899256
h2_ccgt,11.0,,17.840134079195675,11.89342271946379,-1139.293179280176
methanation,8.6,,5.799833490189324,4.620965770083527,-1675.8597521191318
ocgt_coge,2.107481559536354,,2.4088707024046365,3.6133060536069546,86.9743002270705
battery_4h,8.0,32.0,5.036697635290265,0.5596330705878216,-250.08997055922407
battery_8h,4.0,32.0,4.490492508795182,0.4989436120875057,-207.69798431364723
