,0
total system cost [1e9€],40.99922639440231
elec_demand_tot [TWh],384.112084493344
H2_demand_tot [TWh],60.619200000000006
CH4_demand_tot [TWh],165.47639999999993
elec_price_weighted_by_demand [€/MWh],104.44992313943392
CH4_price_weighted_by_demand [€/MWh],118.70359632146179
H2_price_weighted_by_demand [€/MWh],124.7728990899288
load_shifted [TWh],31.151712406111915
load_shifted [%],8.110057887713168
primary_gene_elec [TWh],527.6974590972757
gene_elec [TWh],538.2433831645166
gene_curtailed [TWh],31.35925835368339
gene_curtailed [%],5.942658584585421
primary_gene_CH4 [TWh],163.66405338155883
gene_CH4 [TWh],183.30764524066856
gene_H2 [TWh],81.21552178036882
lcoe_elec [€/MWh],56.525637947058875
lcoe_CH4 [€/MWh],65.14733359693349
lcoe_H2 [€/MWh],71.77164444223075
lcoe_elec_volume [€/MWh],53.898690142021174
lcoe_CH4_volume [€/MWh],75.41356718525815
lcoe_H2_volume [€/MWh],94.33818928376971
lcoe_elec_value [€/MWh],55.001929367483555
lcoe_CH4_value [€/MWh],68.70739004133056
lcoe_H2_value [€/MWh],105.65385384140558
transport_and_distrib_lcoe [€/yr/MWh],63.60607032767383
footprint [MtCO2eq/yr],22.382258150053055
