technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
geothermal_coge,0.135,,0.9450025201314001,,28.207056431398556
lake,13.03119,,15.424191473187998,,3925.5491653889476
marine,1.39303,,5.49674453973,,59.28912762134394
methanization,18.551599316214855,,162.5120099997439,,-6695.689953526258
nuclear,2.095714285714286,,12.850920000001677,,1894.5328895954804
offshore_float,29.2981,,96.03298885927543,,-5738.474369458241
offshore_ground,18.49108,,56.5229266516652,,-3524.3888479282778
onshore,80.65538,,187.3543714989544,,5680.7010011391
pv_ground,69.27483,,82.90697766579478,,694.3168017878045
pv_roof_com,85.9395,,90.09745067085,,-930.7466189564115
pv_roof_indiv,41.81914,,48.40385883612839,,-3192.436773196181
pyrogazification,0.9265239732844794,,8.116349999967516,,-887.135788687409
river,7.6,,36.12610636074918,,3888.334606210601
waste,2.841376989468684,,4.309060221438507,,505.5600296801484
ch4_ccgt,16.92503856015809,,32.04850045721677,21.36566697147785,6281.536437790198
ch4_ocgt,4.52431427281238,,0.6812920565105629,1.0219380847658448,201.71615135296963
electrolysis,12.400878999411061,,49.764500353415144,24.299734965921004,-3556.600964376933
methanation,6.588951815170665,,21.905867308273493,17.453305024489474,-2454.3968658753734
battery_4h,23.007510103968226,92.0300404158729,23.26757275942684,11.85059544144412,0.0
battery_8h,4.217121431579365,33.73697145263492,7.2296818645707495,2.3961736546934853,0.0
ch4_reservoir,88.417,118900.0,52.410580548230804,-1.2229151025167084e-10,-131.02645137030188
h2_saltcavern,6.719999999130035,3999.999999543596,23.051902888454965,-3.204547738278052e-12,-240.43926905518117
phs,5.0600000000457,139.99999985025067,9.831213522810103,2.8052224770324,1293.2525688634191
