area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,0.0,7.777094764153483e-05,0.00033886480392999227,413.9397746588965,329.1137855368064,0.0,0.0,0.0
CH,0.0,8.148029056882875e-05,0.0005463096728202045,131.75571544968625,0.00025621048878484137,0.0,0.0,0.0
DE,0.0,7.447425344048077e-05,0.0003227596139900765,1994.6431792781796,1621.6475039653035,0.0,0.0,0.0
ES,0.0,6.679750175915396e-05,0.0002521474908372707,1880.2999147022517,422.05990842914684,0.0,0.0,0.0
FR,157.74942828233276,0.00014221907629048761,0.0005469084102363974,1858.8258499562091,320.62090826060563,77.98647575334236,0.0,0.0
IE,0.0,6.93874697485674e-05,0.0002419616026501326,189.24785824761378,1.9631653977635144,0.0,0.0,0.0
IT,0.0,7.348124503281997e-05,0.00027586641714889447,1812.0532212401076,1913.0311743498985,0.0,0.0,0.0
NL,0.0,7.763819987464329e-05,0.00033837770966940484,421.4155395703315,51.700461518853345,0.0,0.0,0.0
PT,0.0,6.653501737818269e-05,0.00025084951263093513,95.39538712884921,0.9422827767821689,0.0,0.0,0.0
UK,0.0,6.953010757796892e-05,0.0002429375919824248,1462.3514657884618,104.28165523581818,0.0,0.0,0.0
