area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,61.88939607494073,64.13257293823736,-146.90338103864164,-10.75869855815567,58.07023124585658,68.82892980401226,118.52704617724994,4835,55.19406392694064,7608,82464.27429526462,176710.4736647083
BE,18.071183655087893,18.071183655087893,-35.43911699541651,0.25125272913548397,13.093219574931853,12.841966845796371,98.08104700530244,3806,43.44748858447488,234,36052.82148857495,33851.84758134811
DE,97.37865090385208,97.37865090385208,-265.22438222216243,-35.64205607260688,74.12545457446014,109.76751064706701,148.08342326832394,5530,63.12785388127854,954,107741.12114715789,419965.5323431941
CH,9.995553313501421,9.995553313501421,-35.12906481116007,-2.1080672333916093,8.008568921837947,10.116636155229559,126.32264583055888,3767,43.00228310502283,162,19370.59397419636,37837.26293870686
IT,62.92095540841176,62.92095540841176,-147.52473010841567,-1.5792568198178372,47.0630008206899,48.642257640507744,103.3556228720621,3677,41.97488584474886,1122,131534.62596016604,145368.91570177028
ES,45.33766709638624,45.33766709638624,-130.60296965289314,-12.115299870445199,38.05476436012952,50.17006423057472,131.836486374722,4651,53.093607305936075,1124,69044.71673934198,175174.74360444193
UK,103.34835915925683,103.34835915925683,-133.37583900864118,-10.798163658057248,61.60296337400551,72.40112703206279,117.52864321233896,5083,58.025114155251146,906,107310.93345555877,201902.84710014024
NL,42.62644922255792,42.62644922255792,-87.46444757224677,-13.98045769068678,23.79224875272321,37.77270644340999,158.7605561625889,6104,69.68036529680364,224,32520.74236558438,154989.55173600058
IE,9.492631247561587,9.492631247561587,-47.32974119334834,-14.679284587149763,5.2587384069675425,19.938022994117308,379.1408024346773,7482,85.41095890410959,8107,3419.623663526072,132010.156646958
PT,11.637409667695929,11.637409667695929,-30.99999241255787,-3.360639112952191,8.30116422598282,11.661803338935012,140.48394925657922,5032,57.44292237442923,140,16450.358514634507,45889.5571440957
