technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biomass_coge,0.23,,0.8063591712000001,,24.773463956222372
geothermal_coge,1.43,,10.010026694725198,,195.76366939373702
lake,11.7,,17.49582757160925,,1632.3116400233569
marine,3.7,,14.599796699999999,,1509.624701555342
methanization,6.392694063925004,,55.99999999998305,,6229.702588762477
offshore_float,6.7,,18.968394443514285,,-1428.844431354944
offshore_ground,4.1,,10.446289427,,-855.891865221564
onshore,89.4,,208.38906066613634,,7519.861763951455
pv_ground,50.1,,74.509371801,,1416.2009386764666
pv_roof_com,70.9,,92.737623982,,503.5816632714368
pv_roof_indiv,30.6,,43.425964602,,-1866.7825740927096
pyrogazification,1.8264840182608173,,15.999999999964759,,690.2973083532515
river,4.5,,13.677203912961188,,1341.0679036482966
waste,0.26,,0.39430025009934,,42.196125172454046
ch4_ocgt,7.313886398850798,,0.8539513317033062,1.2809269975549595,0.0
electrolysis,28.8882866261013,,87.63727938297389,42.79280706160036,0.0
h2_ccgt,4.60303109803929,,3.6443099048077183,2.429539936538479,0.0
methanation,3.3090498754712723,,20.319083504171346,16.18904913581919,0.0
battery_4h,21.883448795270716,87.53379518108287,26.059833360174895,2.895537042266735,0.0
battery_8h,4.969251693166595,39.75401354533276,10.429203131682167,1.158800348113802,0.0
phs,6.4,128.0,8.900786309094725,2.3719692209299765,1336.7060883048534
