tech,BE,CH,DE,ES,IT,UK,IE,NL,PT,FR
offshore_float,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.33345325090967
offshore_ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77345415851
onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.75564034997623
pv_ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9077566798956
pv_roof_com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.28292567225499
pv_roof_indiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4888300773702
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.03314776107743
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.96505401699375
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.85091999998699
phs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.851697227195894
battery_1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24759321638683e-07
battery_2h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2067305839445426e-06
battery_4h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.012835938197092
battery_8h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.689124095352082
ch4_ocgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6604457977015994
ch4_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.161194575710617
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661039291569318
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_coge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geothermal_coge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9450025201314001
waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.309060221438507
marine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49674453973
ocgt_coge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.923679852657504e-11
str_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elec_trade_imports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
