,0
offshore_float,0.6743341727563678
offshore_ground,0.39741417910957
onshore,2.557823324549691
pv_ground,1.1887085935185384
pv_roof_com,1.29196095941157
pv_roof_indiv,0.6928436210831829
river,0.21619888656646458
lake,0.0957903241019625
nuclear,0.07710551999992195
ocgt_coge,0.0
natural_gas,0.0
H2_import,
coal,0.0
biomass_coge,0.0
geothermal_coge,0.0
waste,0.0
marine,0.0
rsv_dummy,0.0
ch4_ocgt,0.13449610961382955
ch4_ccgt,3.259343349085274
h2_ccgt,0.09313637520492614
electrolysis,0.27110933150271677
phs,0.06511018336317537
battery_1h,0.0
battery_2h,0.0
battery_4h,1.3927444844154315
battery_8h,0.21396919753042076
h2_saltcavern,0.0
ch4_reservoir,0.0
str_dummy,0.0
lost_load,0.0
biogas,0.0
elec_network,0.0
elec_network_primarygene,0.0
TOTAL,12.622088611813044
