technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biogas_import,4307.313545856417,,4.307313545856417,,0.0
biomass_coge,0.57,,1.9983683807999997,,170.86532055647376
geothermal_coge,1.3,,9.100024267931998,,576.0391886164861
lake,9.0,,14.176445030989584,,2547.942908776227
methanization,4.223744292234857,,36.999999999977334,,4867.317017022742
offshore_float,8.6,,18.753026244199997,,-1598.9877132998986
offshore_ground,5.3,,11.557097569099998,,-803.2912648342372
onshore,67.6,,133.7509282348571,,7669.529987806987
pv_ground,62.370000000000005,,89.537367843,,4063.74688097633
pv_roof_com,88.83,,111.05808013439999,,3303.3494316787956
pv_roof_indiv,37.8,,51.99094744199999,,-944.630504540869
pyrogazification,4.223744292232367,,36.999999999955534,,2347.576046445425
river,13.0,,29.71701384278865,,4086.4133816903504
waste,0.79,,1.1980661445326102,,181.7823873055963
ch4_ocgt,1.1241218986255592,,0.11597679148999761,0.17396518723499638,0.0
electrolysis,24.762481933333046,,55.20561113434311,26.956599778343282,0.0
h2_ccgt,22.73722809928298,,32.93494734179377,21.95663156119584,0.0
battery_4h,27.07873199848701,108.31492799394805,32.291834865561185,3.587981652384208,0.0
battery_8h,17.511070925235792,140.08856740188634,35.22392850773053,3.9137698354911024,0.0
phs,7.22,144.4,12.547352524087563,0.9991722605685247,1731.647517731893
