
Gurobi 13.0.2 (linux64) logging started Wed Jul 29 18:04:59 2026

Set parameter LogFile to value "outputs/batch_step2_2060/2047_FR_alone/logfile_2047_FR_alone.txt"
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "CentOS Stream 9")

CPU model: Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 16 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
Method  2
Crossover  0
NumericFocus  3
Presolve  2

Optimize a model with 1007906 rows, 823495 columns and 3978213 nonzeros (Min)
Model fingerprint: 0xd713cd62
Model has 210275 linear objective coefficients
Coefficient statistics:
  Matrix range     [1e-04, 1e+02]
  Objective range  [6e-04, 3e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [7e-02, 1e+05]

Presolve removed 444263 rows and 260000 columns (presolve time = 8s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 10s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 15s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 20s)...
Presolve removed 578499 rows and 271597 columns (presolve time = 25s)...
Presolve removed 578499 rows and 271597 columns (presolve time = 30s)...
Presolve removed 587259 rows and 271597 columns
Presolve time: 30.41s
Presolved: 420647 rows, 560658 columns, 2325155 nonzeros
Ordering time: 0.38s

Barrier statistics:
 Dense cols : 18
 AA' NZ     : 2.035e+06
 Factor NZ  : 9.241e+06 (roughly 500 MB of memory)
 Factor Ops : 4.864e+08 (less than 1 second per iteration)
 Threads    : 16

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   9.13613408e+07 -6.55964814e+11  1.67e+08 1.14e-13  2.55e+07    32s
   1   9.44073205e+07 -4.64241195e+11  1.61e+08 3.81e+02  1.95e+07    32s
   2   1.08476919e+08 -3.80382354e+11  1.33e+08 2.83e+02  1.53e+07    33s
   3   1.36191736e+08 -1.98610956e+11  9.59e+07 6.35e+01  9.92e+06    34s
   4   1.49872338e+08 -1.25814325e+11  8.13e+07 2.61e+01  7.97e+06    35s
   5   2.58335426e+08 -7.43139452e+10  1.52e+07 1.16e+01  1.65e+06    35s
   6   2.95923698e+08 -3.00102766e+10  2.75e+06 2.92e+00  3.25e+05    36s
   7   2.93801456e+08 -2.04673836e+10  8.34e+05 1.65e+00  1.20e+05    36s
   8   2.87638474e+08 -7.68563852e+09  2.71e+05 3.20e-01  3.64e+04    37s
   9   2.18096236e+08 -2.47541850e+09  4.22e+04 5.33e-02  6.91e+03    37s
  10   1.11806678e+08 -1.43721621e+09  8.15e+03 2.56e-02  2.51e+03    38s
  11   4.46207677e+07 -8.07564375e+08  1.01e+03 1.29e-02  1.09e+03    39s
  12   2.29333919e+07 -1.39467202e+08  1.04e+02 8.17e-04  1.87e+02    40s
  13   4.99454315e+06 -1.62109476e+07  1.03e+01 4.66e-05  2.29e+01    41s
  14   1.84076740e+06 -3.68637358e+06  3.22e+00 6.01e-11  5.83e+00    42s
  15   9.12844457e+05 -1.95576824e+06  1.47e+00 1.74e-11  3.00e+00    42s
  16   5.68540816e+05 -6.45088721e+05  8.63e-01 1.88e-11  1.26e+00    43s
  17   3.24616257e+05 -2.32736145e+05  4.32e-01 9.44e-12  5.79e-01    44s
  18   2.39107302e+05 -1.22021045e+05  2.87e-01 3.75e-12  3.75e-01    45s
  19   1.75648934e+05 -5.36834335e+04  1.77e-01 2.42e-12  2.38e-01    46s
  20   1.60785980e+05 -2.40854231e+04  1.53e-01 2.23e-12  1.92e-01    47s
  21   1.30053554e+05  2.35126832e+02  1.01e-01 1.36e-12  1.35e-01    48s
  22   1.18569729e+05  1.55467641e+04  8.25e-02 6.39e-13  1.07e-01    49s
  23   1.05842399e+05  2.89722610e+04  6.20e-02 4.55e-13  7.98e-02    50s
  24   9.73557867e+04  3.86251043e+04  4.84e-02 1.59e-12  6.10e-02    51s
  25   9.16579391e+04  4.52082387e+04  3.95e-02 4.55e-13  4.82e-02    52s
  26   8.37906324e+04  4.90045346e+04  2.75e-02 1.82e-12  3.61e-02    54s
  27   8.02193271e+04  5.33223508e+04  2.22e-02 9.09e-13  2.79e-02    55s
  28   7.68533683e+04  5.62999316e+04  1.71e-02 1.56e-13  2.13e-02    57s
  29   7.43229092e+04  5.72070155e+04  1.32e-02 8.53e-14  1.78e-02    58s
  30   7.21926334e+04  5.88860472e+04  1.04e-02 8.53e-14  1.38e-02    60s
  31   7.17889011e+04  5.94862620e+04  9.74e-03 1.28e-13  1.28e-02    61s
  32   7.12152027e+04  6.02842133e+04  8.86e-03 1.14e-12  1.13e-02    62s
  33   7.02003558e+04  6.08737304e+04  7.28e-03 6.82e-13  9.68e-03    64s
  34   6.96946338e+04  6.12449869e+04  6.48e-03 1.71e-13  8.77e-03    65s
  35   6.92516557e+04  6.16622712e+04  5.78e-03 9.24e-16  7.88e-03    67s
  36   6.90639253e+04  6.18358322e+04  5.47e-03 3.87e-12  7.50e-03    68s
  37   6.88720362e+04  6.20453492e+04  5.11e-03 4.26e-14  7.09e-03    69s
  38   6.85917650e+04  6.23392285e+04  4.63e-03 9.09e-13  6.49e-03    71s
  39   6.83277583e+04  6.27722613e+04  4.12e-03 1.14e-12  5.77e-03    72s
  40   6.81709020e+04  6.31571415e+04  3.80e-03 5.68e-14  5.20e-03    74s
  41   6.80486302e+04  6.33420401e+04  3.54e-03 4.09e-12  4.88e-03    75s
  42   6.78378734e+04  6.36412389e+04  3.12e-03 1.42e-14  4.36e-03    77s
  43   6.75819957e+04  6.37857656e+04  2.62e-03 9.95e-14  3.94e-03    78s
  44   6.74674681e+04  6.42514565e+04  2.39e-03 9.09e-13  3.34e-03    79s
  45   6.73459233e+04  6.45697338e+04  2.17e-03 1.36e-12  2.88e-03    81s
  46   6.72685753e+04  6.46829803e+04  2.03e-03 1.59e-12  2.68e-03    82s
  47   6.71478929e+04  6.48397020e+04  1.81e-03 1.14e-12  2.40e-03    84s
  48   6.70525322e+04  6.50272330e+04  1.64e-03 9.09e-13  2.10e-03    85s
  49   6.69782081e+04  6.51261009e+04  1.50e-03 1.01e-15  1.92e-03    86s
  50   6.68757387e+04  6.52753200e+04  1.32e-03 7.11e-14  1.66e-03    88s
  51   6.67803354e+04  6.54129130e+04  1.15e-03 1.42e-14  1.42e-03    89s
  52   6.66672424e+04  6.54747482e+04  9.54e-04 3.22e-15  1.24e-03    91s
  53   6.65819349e+04  6.55338162e+04  7.97e-04 9.09e-13  1.09e-03    92s
  54   6.65204788e+04  6.56084995e+04  6.83e-04 1.42e-14  9.47e-04    93s
  55   6.64774231e+04  6.56478466e+04  6.04e-04 3.87e-12  8.61e-04    94s
  56   6.64427314e+04  6.57065069e+04  5.43e-04 2.84e-14  7.64e-04    96s
  57   6.64161108e+04  6.57477797e+04  4.93e-04 1.14e-12  6.94e-04    97s
  58   6.63923210e+04  6.58021722e+04  4.49e-04 1.38e-15  6.12e-04    99s
  59   6.63739308e+04  6.58279117e+04  4.15e-04 1.11e-15  5.67e-04   100s
  60   6.63364852e+04  6.58541246e+04  3.48e-04 9.09e-13  5.01e-04   101s
  61   6.63233791e+04  6.58962184e+04  3.24e-04 2.84e-14  4.43e-04   103s
  62   6.63121898e+04  6.59226628e+04  3.04e-04 4.55e-13  4.04e-04   104s
  63   6.62949161e+04  6.59404922e+04  2.75e-04 2.84e-14  3.68e-04   105s
  64   6.62717205e+04  6.59595738e+04  2.36e-04 8.53e-14  3.24e-04   107s
  65   6.62630547e+04  6.59717015e+04  2.21e-04 1.82e-12  3.02e-04   109s
  66   6.62475716e+04  6.60037454e+04  1.94e-04 2.05e-12  2.53e-04   111s
  67   6.62344819e+04  6.60263824e+04  1.73e-04 7.11e-14  2.16e-04   112s
  68   6.62204863e+04  6.60423658e+04  1.47e-04 1.42e-14  1.85e-04   114s
  69   6.62090532e+04  6.60518154e+04  1.28e-04 8.61e-16  1.63e-04   116s
  70   6.61999196e+04  6.60575864e+04  1.14e-04 9.09e-13  1.48e-04   119s
  71   6.61931954e+04  6.60698797e+04  1.03e-04 1.82e-12  1.28e-04   121s
  72   6.61858958e+04  6.60805002e+04  9.06e-05 1.36e-12  1.09e-04   123s
  73   6.61826668e+04  6.60858347e+04  8.49e-05 2.84e-14  1.00e-04   125s
  74   6.61799267e+04  6.60900215e+04  8.05e-05 5.68e-14  9.33e-05   127s
  75   6.61755137e+04  6.60923449e+04  7.31e-05 3.77e-15  8.63e-05   129s
  76   6.61705665e+04  6.60961966e+04  6.49e-05 1.14e-13  7.72e-05   131s
  77   6.61650452e+04  6.60988743e+04  5.61e-05 4.26e-14  6.87e-05   133s
  78   6.61593549e+04  6.61011844e+04  4.69e-05 1.86e-15  6.04e-05   135s
  79   6.61570943e+04  6.61049312e+04  4.33e-05 2.50e-12  5.41e-05   136s
  80   6.61557566e+04  6.61071290e+04  4.11e-05 9.09e-13  5.05e-05   138s
  81   6.61510556e+04  6.61085668e+04  3.36e-05 2.27e-13  4.41e-05   140s
  82   6.61493387e+04  6.61105216e+04  3.10e-05 2.50e-12  4.03e-05   142s
  83   6.61472093e+04  6.61125639e+04  2.77e-05 7.33e-15  3.60e-05   144s
  84   6.61446135e+04  6.61146202e+04  2.35e-05 7.11e-14  3.11e-05   146s
  85   6.61433769e+04  6.61155661e+04  2.17e-05 7.11e-14  2.89e-05   148s
  86   6.61428890e+04  6.61158956e+04  2.09e-05 2.05e-12  2.80e-05   150s
  87   6.61417673e+04  6.61169118e+04  1.92e-05 2.73e-12  2.58e-05   152s
  88   6.61413741e+04  6.61178250e+04  1.86e-05 6.82e-13  2.44e-05   154s
  89   6.61405024e+04  6.61181985e+04  1.73e-05 2.27e-13  2.31e-05   156s
  90   6.61397665e+04  6.61186801e+04  1.61e-05 1.82e-12  2.19e-05   158s
  91   6.61390831e+04  6.61191789e+04  1.51e-05 4.55e-13  2.07e-05   160s
  92   6.61382786e+04  6.61204421e+04  1.38e-05 1.28e-13  1.85e-05   163s
  93   6.61377139e+04  6.61212016e+04  1.29e-05 4.55e-13  1.71e-05   165s
  94   6.61366579e+04  6.61222245e+04  1.13e-05 9.95e-14  1.50e-05   167s
  95   6.61359402e+04  6.61224924e+04  1.02e-05 2.84e-14  1.40e-05   170s
  96   6.61353108e+04  6.61226703e+04  9.24e-06 3.33e-15  1.31e-05   172s
  97   6.61347424e+04  6.61233274e+04  8.37e-06 9.09e-13  1.18e-05   175s
  98   6.61344622e+04  6.61237187e+04  7.96e-06 2.27e-13  1.12e-05   178s
  99   6.61342559e+04  6.61238998e+04  7.65e-06 1.82e-12  1.07e-05   181s
 100   6.61339556e+04  6.61242175e+04  7.20e-06 1.14e-13  1.01e-05   184s
 101   6.61336083e+04  6.61247689e+04  6.70e-06 2.27e-12  9.17e-06   187s
 102   6.61335005e+04  6.61250035e+04  6.52e-06 1.21e-15  8.82e-06   189s
 103   6.61330267e+04  6.61253783e+04  5.83e-06 2.27e-12  7.94e-06   192s
 104   6.61326529e+04  6.61255192e+04  5.26e-06 3.46e-15  7.40e-06   194s
 105   6.61324674e+04  6.61257806e+04  4.98e-06 2.50e-12  6.94e-06   197s
 106   6.61321976e+04  6.61260425e+04  4.59e-06 8.53e-14  6.39e-06   199s
 107   6.61320248e+04  6.61263393e+04  4.33e-06 1.28e-13  5.90e-06   201s
 108   6.61318978e+04  6.61264793e+04  4.15e-06 1.82e-12  5.62e-06   203s
 109   6.61317721e+04  6.61266512e+04  3.97e-06 3.65e-14  5.31e-06   206s
 110   6.61315331e+04  6.61268551e+04  3.62e-06 6.82e-13  4.86e-06   208s
 111   6.61314371e+04  6.61270858e+04  3.48e-06 2.46e-14  4.52e-06   211s
 112   6.61312252e+04  6.61272834e+04  3.18e-06 1.14e-12  4.09e-06   213s
 113   6.61311705e+04  6.61273378e+04  3.10e-06 1.85e-13  3.98e-06   216s
 114   6.61309943e+04  6.61274193e+04  2.84e-06 2.84e-14  3.71e-06   219s
 115   6.61309327e+04  6.61274664e+04  2.75e-06 4.55e-13  3.60e-06   221s
 116   6.61307929e+04  6.61275181e+04  2.53e-06 9.09e-13  3.40e-06   224s
 117   6.61306792e+04  6.61275653e+04  2.36e-06 9.09e-13  3.23e-06   227s
 118   6.61305158e+04  6.61277016e+04  2.12e-06 2.33e-14  2.92e-06   230s
 119   6.61304640e+04  6.61277757e+04  2.05e-06 1.59e-12  2.79e-06   233s
 120   6.61303606e+04  6.61278922e+04  1.90e-06 1.14e-12  2.56e-06   236s
 121   6.61302766e+04  6.61279953e+04  1.78e-06 6.82e-13  2.37e-06   239s
 122   6.61302283e+04  6.61280892e+04  1.71e-06 6.82e-13  2.22e-06   241s
 123   6.61299930e+04  6.61281742e+04  1.35e-06 1.87e-14  1.89e-06   243s
 124   6.61299259e+04  6.61282121e+04  1.25e-06 3.41e-12  1.78e-06   246s
 125   6.61298985e+04  6.61282973e+04  1.21e-06 1.14e-12  1.66e-06   249s
 126   6.61298643e+04  6.61283631e+04  1.16e-06 9.95e-14  1.56e-06   252s
 127   6.61297321e+04  6.61284579e+04  9.65e-07 9.09e-13  1.32e-06   255s
 128   6.61296312e+04  6.61285024e+04  8.13e-07 1.69e-14  1.17e-06   257s
 129   6.61295690e+04  6.61285583e+04  7.22e-07 9.95e-14  1.05e-06   260s
 130   6.61295386e+04  6.61286034e+04  6.78e-07 3.58e-12  9.71e-07   263s
 131   6.61295212e+04  6.61286299e+04  6.53e-07 1.10e-10  9.25e-07   266s
 132   6.61294712e+04  6.61286618e+04  5.83e-07 1.51e-09  8.40e-07   269s
 133   6.61293997e+04  6.61287368e+04  5.50e-07 5.10e-09  6.88e-07   272s
 134   6.61293535e+04  6.61287626e+04  4.71e-07 4.72e-09  6.13e-07   278s
 135   6.61293382e+04  6.61288052e+04  4.45e-07 4.05e-09  5.53e-07   281s
 136   6.61292819e+04  6.61288722e+04  3.86e-07 2.41e-09  4.25e-07   285s
 137   6.61292575e+04  6.61288959e+04  3.62e-07 2.06e-09  3.75e-07   288s
 138   6.61292520e+04  6.61289046e+04  3.32e-07 1.97e-09  3.61e-07   293s
 139   6.61292374e+04  6.61289198e+04  3.01e-07 1.89e-09  3.29e-07   297s
 140   6.61292346e+04  6.61289275e+04  3.47e-07 2.20e-09  3.19e-07   301s
 141   6.61292138e+04  6.61289345e+04  2.90e-07 2.35e-09  2.90e-07   305s
 142   6.61292045e+04  6.61289564e+04  2.74e-07 2.67e-09  2.57e-07   310s
 143   6.61291865e+04  6.61289812e+04  2.32e-07 2.75e-09  2.13e-07   317s
 144   6.61291637e+04  6.61290005e+04  5.74e-06 6.43e-09  1.69e-07   318s
 145   6.61291556e+04  6.61290054e+04  5.21e-06 5.86e-09  1.56e-07   324s
 146   6.61291502e+04  6.61290115e+04  4.83e-06 4.66e-09  1.44e-07   329s
 147   6.61291478e+04  6.61290141e+04  4.93e-06 5.01e-11  1.39e-07   332s
 148   6.61291456e+04  6.61290176e+04  4.78e-06 4.27e-11  1.33e-07   337s
 149   6.61291412e+04  6.61290252e+04  4.44e-06 4.20e-11  1.20e-07   343s
 150   6.61291281e+04  6.61290452e+04  3.47e-06 1.58e-11  8.60e-08   347s
 151   6.61290908e+04  6.61290752e+04  1.45e-05 3.86e-09  1.62e-08   350s
 152   6.61290812e+04  6.61290793e+04  2.32e-06 1.11e-08  2.04e-09   353s
 153   6.61290799e+04  6.61290797e+04  2.58e-07 1.51e-09  2.11e-10   355s
 154   6.61290798e+04  6.61290798e+04  8.01e-08 1.99e-10  2.31e-11   357s

Barrier solved model in 154 iterations and 357.02 seconds (273.56 work units)
Optimal objective 6.61290798e+04

