
Gurobi 13.0.2 (linux64) logging started Wed Jul 29 18:54:29 2026

Set parameter LogFile to value "outputs/batch_step2_2060/2048_FR_alone/logfile_2048_FR_alone.txt"
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "CentOS Stream 9")

CPU model: Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 16 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
Method  2
Crossover  0
NumericFocus  3
Presolve  2

Optimize a model with 1007906 rows, 823495 columns and 3978195 nonzeros (Min)
Model fingerprint: 0x43238b48
Model has 210275 linear objective coefficients
Coefficient statistics:
  Matrix range     [1e-04, 1e+02]
  Objective range  [6e-04, 3e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [7e-02, 1e+05]

Presolve removed 444263 rows and 260000 columns (presolve time = 8s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 10s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 15s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 20s)...
Presolve removed 578499 rows and 271597 columns (presolve time = 25s)...
Presolve removed 578499 rows and 271597 columns (presolve time = 30s)...
Presolve removed 587259 rows and 271597 columns
Presolve time: 30.58s
Presolved: 420647 rows, 560658 columns, 2325155 nonzeros
Ordering time: 0.39s

Barrier statistics:
 Dense cols : 18
 AA' NZ     : 2.035e+06
 Factor NZ  : 9.241e+06 (roughly 500 MB of memory)
 Factor Ops : 4.864e+08 (less than 1 second per iteration)
 Threads    : 16

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   9.13687138e+07 -6.55964814e+11  1.67e+08 1.14e-13  2.55e+07    32s
   1   9.44180293e+07 -4.64384741e+11  1.61e+08 3.81e+02  1.95e+07    32s
   2   1.08462609e+08 -3.80516311e+11  1.33e+08 2.83e+02  1.53e+07    33s
   3   1.36221381e+08 -1.98722630e+11  9.59e+07 6.35e+01  9.92e+06    34s
   4   1.49914068e+08 -1.25881040e+11  8.13e+07 2.61e+01  7.97e+06    35s
   5   2.58350435e+08 -7.43943010e+10  1.52e+07 1.16e+01  1.65e+06    35s
   6   2.96034928e+08 -2.98141269e+10  2.72e+06 2.86e+00  3.21e+05    36s
   7   2.93646511e+08 -2.00227151e+10  8.36e+05 1.58e+00  1.19e+05    36s
   8   2.87153598e+08 -7.97690046e+09  2.79e+05 3.40e-01  3.76e+04    37s
   9   2.26414874e+08 -2.64533175e+09  5.66e+04 6.22e-02  8.30e+03    38s
  10   1.25075210e+08 -1.34361712e+09  1.08e+04 2.40e-02  2.55e+03    38s
  11   4.63985100e+07 -8.26553195e+08  1.34e+03 1.32e-02  1.12e+03    40s
  12   2.31107993e+07 -1.43121397e+08  1.37e+02 1.12e-03  1.91e+02    41s
  13   4.78549098e+06 -1.70607717e+07  1.36e+01 1.05e-04  2.36e+01    42s
  14   1.62104688e+06 -3.81558004e+06  3.80e+00 6.90e-06  5.73e+00    43s
  15   5.88841019e+05 -1.79081915e+06  1.18e+00 1.65e-11  2.48e+00    44s
  16   3.47480091e+05 -5.47059898e+05  6.11e-01 4.66e-12  9.31e-01    44s
  17   2.12225678e+05 -1.78646552e+05  3.02e-01 1.36e-12  4.06e-01    45s
  18   1.41640046e+05 -8.93162153e+04  1.47e-01 5.68e-13  2.40e-01    47s
  19   1.21583185e+05 -3.15482518e+04  1.06e-01 5.40e-13  1.59e-01    48s
  20   1.09418281e+05 -2.92367083e+03  8.13e-02 6.82e-13  1.17e-01    48s
  21   1.03129965e+05  1.34488901e+04  6.89e-02 4.83e-13  9.31e-02    49s
  22   9.54960295e+04  2.48041344e+04  5.42e-02 4.55e-13  7.34e-02    50s
  23   8.84637347e+04  3.37992859e+04  4.11e-02 7.92e-15  5.67e-02    51s
  24   8.23656934e+04  4.05722678e+04  2.98e-02 1.36e-12  4.34e-02    52s
  25   7.84824637e+04  4.62060793e+04  2.29e-02 1.42e-13  3.35e-02    54s
  26   7.54939977e+04  4.83626336e+04  1.76e-02 2.50e-12  2.82e-02    55s
  27   7.28058213e+04  5.30006865e+04  1.34e-02 3.03e-15  2.06e-02    57s
  28   7.06054891e+04  5.47141642e+04  9.84e-03 2.59e-15  1.65e-02    58s
  29   6.94773262e+04  5.63237030e+04  8.08e-03 1.42e-14  1.37e-02    59s
  30   6.87578245e+04  5.70130246e+04  6.96e-03 1.14e-13  1.22e-02    61s
  31   6.83806794e+04  5.78583612e+04  6.37e-03 9.95e-14  1.09e-02    62s
  32   6.78520994e+04  5.87408395e+04  5.46e-03 3.64e-12  9.46e-03    63s
  33   6.75165375e+04  5.96041270e+04  4.79e-03 2.27e-12  8.21e-03    65s
  34   6.71719759e+04  6.03192111e+04  4.16e-03 1.15e-15  7.11e-03    66s
  35   6.68101784e+04  6.09058875e+04  3.53e-03 1.15e-15  6.13e-03    68s
  36   6.64508697e+04  6.12611440e+04  2.91e-03 4.55e-13  5.39e-03    69s
  37   6.62497246e+04  6.17993075e+04  2.57e-03 5.77e-15  4.62e-03    71s
  38   6.60292282e+04  6.20310306e+04  2.22e-03 1.05e-15  4.15e-03    72s
  39   6.58518561e+04  6.22728987e+04  1.93e-03 2.42e-13  3.71e-03    74s
  40   6.57274891e+04  6.26024855e+04  1.74e-03 1.82e-12  3.24e-03    75s
  41   6.56190573e+04  6.27978893e+04  1.58e-03 1.12e-15  2.93e-03    77s
  42   6.54025153e+04  6.30107881e+04  1.26e-03 4.55e-13  2.48e-03    78s
  43   6.53238078e+04  6.32776958e+04  1.15e-03 4.11e-15  2.12e-03    80s
  44   6.52603211e+04  6.33598597e+04  1.06e-03 1.59e-12  1.97e-03    81s
  45   6.52006552e+04  6.35108178e+04  9.69e-04 1.59e-12  1.75e-03    83s
  46   6.50497865e+04  6.35787121e+04  7.63e-04 1.45e-15  1.53e-03    84s
  47   6.49893718e+04  6.37590623e+04  6.81e-04 2.19e-15  1.28e-03    86s
  48   6.49314210e+04  6.37971405e+04  6.04e-04 4.55e-13  1.18e-03    87s
  49   6.48329211e+04  6.39273007e+04  4.70e-04 2.84e-14  9.40e-04    88s
  50   6.47909287e+04  6.40135883e+04  4.13e-04 2.05e-12  8.07e-04    90s
  51   6.47590434e+04  6.40479710e+04  3.70e-04 4.55e-12  7.38e-04    91s
  52   6.47356034e+04  6.41009089e+04  3.40e-04 1.65e-15  6.59e-04    93s
  53   6.47300249e+04  6.41190847e+04  3.31e-04 2.27e-13  6.34e-04    94s
  54   6.47065646e+04  6.41669700e+04  2.99e-04 2.27e-13  5.60e-04    96s
  55   6.46657401e+04  6.42147698e+04  2.46e-04 2.50e-12  4.68e-04    97s
  56   6.46308633e+04  6.42516885e+04  2.01e-04 9.44e-16  3.94e-04    99s
  57   6.46115979e+04  6.42861974e+04  1.77e-04 8.88e-16  3.38e-04   100s
  58   6.45857359e+04  6.43000713e+04  1.44e-04 9.09e-13  2.97e-04   102s
  59   6.45685152e+04  6.43295019e+04  1.22e-04 1.42e-14  2.48e-04   104s
  60   6.45635009e+04  6.43483358e+04  1.16e-04 2.27e-12  2.23e-04   106s
  61   6.45530984e+04  6.43605319e+04  1.04e-04 5.68e-14  2.00e-04   108s
  62   6.45500314e+04  6.43746371e+04  9.89e-05 1.33e-15  1.82e-04   110s
  63   6.45448024e+04  6.43851788e+04  9.23e-05 3.87e-12  1.66e-04   112s
  64   6.45370858e+04  6.43964850e+04  8.27e-05 1.42e-13  1.46e-04   115s
  65   6.45311907e+04  6.44087420e+04  7.54e-05 1.70e-15  1.27e-04   117s
  66   6.45269985e+04  6.44125343e+04  7.04e-05 2.05e-12  1.19e-04   119s
  67   6.45233615e+04  6.44179638e+04  6.60e-05 1.74e-15  1.09e-04   121s
  68   6.45190002e+04  6.44213321e+04  6.08e-05 6.82e-13  1.01e-04   123s
  69   6.45157192e+04  6.44297129e+04  5.69e-05 4.55e-13  8.93e-05   126s
  70   6.45105908e+04  6.44329660e+04  5.11e-05 1.28e-13  8.06e-05   128s
  71   6.45073484e+04  6.44362111e+04  4.74e-05 2.22e-15  7.38e-05   130s
  72   6.45033077e+04  6.44387703e+04  4.27e-05 2.96e-12  6.70e-05   133s
  73   6.44965604e+04  6.44403352e+04  3.50e-05 1.42e-14  5.84e-05   135s
  74   6.44940840e+04  6.44432051e+04  3.22e-05 2.84e-14  5.28e-05   138s
  75   6.44924665e+04  6.44451731e+04  3.03e-05 4.26e-14  4.91e-05   140s
  76   6.44897387e+04  6.44466334e+04  2.73e-05 6.22e-15  4.47e-05   143s
  77   6.44880640e+04  6.44507077e+04  2.53e-05 1.42e-14  3.88e-05   145s
  78   6.44869604e+04  6.44526205e+04  2.41e-05 2.36e-15  3.56e-05   148s
  79   6.44856340e+04  6.44529536e+04  2.26e-05 3.87e-12  3.39e-05   150s
  80   6.44849605e+04  6.44538097e+04  2.18e-05 2.03e-15  3.23e-05   152s
  81   6.44834253e+04  6.44546644e+04  2.01e-05 6.82e-13  2.98e-05   154s
  82   6.44817795e+04  6.44568284e+04  1.82e-05 1.36e-12  2.59e-05   157s
  83   6.44807220e+04  6.44573534e+04  1.71e-05 2.19e-15  2.43e-05   159s
  84   6.44794850e+04  6.44579764e+04  1.57e-05 2.27e-13  2.23e-05   162s
  85   6.44784260e+04  6.44584707e+04  1.45e-05 2.50e-12  2.07e-05   165s
