tech,FR
offshore_float,42.27479624068734
offshore_ground,39.41062665525114
onshore,30.6104941268872
pv_ground,13.379162557077628
pv_roof_com,11.694520433789956
pv_roof_indiv,12.966200228310504
river,60.26012875063472
lake,14.528913104271663
nuclear,56.11028131198601
methanization,99.99999999590463
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,1.5783811706993365
ch4_ccgt,20.15192546235983
h2_ccgt,19.6889928592868
electrolysis,51.29985553144327
methanation,55.40228861789798
phs,28.042958729689914
battery_1h,0.0
battery_2h,8.567268158236303
battery_4h,14.171193626869552
battery_8h,0.0
h2_saltcavern,34.64015403689763
ch4_reservoir,4.749346639326289
str_dummy,
lost_load,
