
Gurobi 13.0.2 (linux64) logging started Wed Jul 29 20:22:52 2026

Set parameter LogFile to value "outputs/batch_step2_2060/2050_FR_alone/logfile_2050_FR_alone.txt"
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "CentOS Stream 9")

CPU model: Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 16 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
Method  2
Crossover  0
NumericFocus  3
Presolve  2

Optimize a model with 1007906 rows, 823495 columns and 3978234 nonzeros (Min)
Model fingerprint: 0x1ed64ff2
Model has 210275 linear objective coefficients
Coefficient statistics:
  Matrix range     [1e-04, 1e+02]
  Objective range  [6e-04, 3e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [7e-02, 1e+05]

Presolve removed 444263 rows and 260000 columns (presolve time = 8s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 10s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 15s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 20s)...
Presolve removed 578499 rows and 271597 columns (presolve time = 25s)...
Presolve removed 587259 rows and 271597 columns
Presolve time: 30.01s
Presolved: 420647 rows, 560658 columns, 2325155 nonzeros
Ordering time: 0.37s

Barrier statistics:
 Dense cols : 18
 AA' NZ     : 2.035e+06
 Factor NZ  : 9.241e+06 (roughly 500 MB of memory)
 Factor Ops : 4.864e+08 (less than 1 second per iteration)
 Threads    : 16

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   9.13536696e+07 -6.55964814e+11  1.67e+08 1.14e-13  2.55e+07    31s
   1   9.44047709e+07 -4.64473363e+11  1.61e+08 3.81e+02  1.95e+07    32s
   2   1.08429451e+08 -3.80620790e+11  1.33e+08 2.83e+02  1.53e+07    32s
   3   1.36213913e+08 -1.98830894e+11  9.58e+07 6.35e+01  9.92e+06    33s
   4   1.49914954e+08 -1.25997089e+11  8.12e+07 2.61e+01  7.96e+06    34s
   5   2.58327927e+08 -7.45445192e+10  1.52e+07 1.16e+01  1.65e+06    34s
   6   2.96110140e+08 -3.01356535e+10  2.69e+06 2.89e+00  3.19e+05    35s
   7   2.93189188e+08 -1.87647260e+10  8.28e+05 1.41e+00  1.14e+05    35s
   8   2.85395839e+08 -7.95247196e+09  2.81e+05 3.30e-01  3.74e+04    36s
   9   2.23799270e+08 -2.82734808e+09  5.60e+04 6.20e-02  8.38e+03    37s
  10   1.14589730e+08 -1.37013425e+09  1.05e+04 2.25e-02  2.50e+03    37s
  11   4.31765505e+07 -9.55356959e+08  1.31e+03 1.45e-02  1.26e+03    38s
  12   2.61036736e+07 -5.46241388e+08  3.36e+02 7.69e-03  6.82e+02    39s
  13   1.01515251e+07 -7.06879895e+07  4.19e+01 9.51e-04  9.15e+01    40s
  14   2.60716372e+06 -1.02466935e+07  5.34e+00 1.31e-04  1.38e+01    41s
  15   1.00888562e+06 -3.29256401e+06  1.68e+00 1.61e-05  4.53e+00    42s
  16   5.44702634e+05 -1.11820668e+06  8.24e-01 3.06e-11  1.74e+00    43s
  17   2.97714673e+05 -4.02970538e+05  3.87e-01 4.55e-12  7.29e-01    44s
  18   2.05291056e+05 -1.41372231e+05  2.28e-01 5.40e-12  3.60e-01    44s
  19   1.70048168e+05 -7.76723471e+04  1.68e-01 4.29e-12  2.57e-01    45s
  20   1.44282618e+05 -3.10185781e+04  1.25e-01 2.52e-12  1.82e-01    46s
  21   1.32422573e+05 -2.56780149e+03  1.05e-01 1.85e-12  1.40e-01    47s
  22   1.17504037e+05  1.33759280e+04  8.16e-02 1.58e-12  1.08e-01    48s
  23   1.01257291e+05  2.89972615e+04  5.52e-02 1.14e-12  7.50e-02    49s
  24   9.09117459e+04  3.90877705e+04  3.98e-02 8.81e-13  5.38e-02    50s
  25   8.47152982e+04  4.65113800e+04  3.03e-02 6.82e-13  3.97e-02    51s
  26   8.28896476e+04  4.77615754e+04  2.74e-02 4.69e-13  3.65e-02    52s
  27   7.99632030e+04  4.80110576e+04  2.30e-02 4.26e-13  3.32e-02    53s
  28   7.76180487e+04  5.21312802e+04  1.95e-02 4.55e-13  2.65e-02    54s
  29   7.51573668e+04  5.42812772e+04  1.59e-02 2.96e-12  2.17e-02    55s
  30   7.37222482e+04  5.56749869e+04  1.38e-02 1.99e-13  1.87e-02    57s
  31   7.26872411e+04  5.71165547e+04  1.23e-02 2.96e-12  1.62e-02    58s
  32   7.14412624e+04  5.83237240e+04  1.04e-02 1.99e-13  1.36e-02    60s
  33   7.04398714e+04  5.89692748e+04  8.92e-03 1.14e-13  1.19e-02    61s
  34   6.99612097e+04  5.98668239e+04  8.18e-03 6.82e-13  1.05e-02    62s
  35   6.93117727e+04  6.04550074e+04  7.18e-03 1.14e-13  9.19e-03    63s
  36   6.90139127e+04  6.07883273e+04  6.70e-03 1.42e-13  8.54e-03    65s
  37   6.87256025e+04  6.10910924e+04  6.27e-03 1.85e-13  7.92e-03    66s
  38   6.85842201e+04  6.12933714e+04  6.07e-03 4.55e-13  7.57e-03    67s
  39   6.84947787e+04  6.14372670e+04  5.93e-03 2.73e-12  7.32e-03    69s
  40   6.84293522e+04  6.19372553e+04  5.83e-03 2.05e-12  6.74e-03    70s
  41   6.80995483e+04  6.20920670e+04  5.14e-03 9.09e-13  6.23e-03    72s
  42   6.78849598e+04  6.22698742e+04  4.74e-03 4.26e-14  5.83e-03    73s
  43   6.76618781e+04  6.23999500e+04  4.43e-03 1.59e-12  5.46e-03    74s
  44   6.74548015e+04  6.25914172e+04  4.12e-03 4.55e-13  5.05e-03    75s
  45   6.71326649e+04  6.28597242e+04  3.63e-03 4.26e-14  4.43e-03    77s
  46   6.69106864e+04  6.30548447e+04  3.30e-03 4.09e-12  4.00e-03    78s
  47   6.66178926e+04  6.31972561e+04  2.86e-03 1.82e-12  3.55e-03    79s
  48   6.64885871e+04  6.33679104e+04  2.68e-03 1.42e-13  3.24e-03    81s
  49   6.63851774e+04  6.35275477e+04  2.53e-03 2.27e-13  2.97e-03    82s
  50   6.62438541e+04  6.36839286e+04  2.31e-03 9.93e-16  2.66e-03    83s
  51   6.60552065e+04  6.37823937e+04  2.02e-03 4.55e-13  2.36e-03    85s
  52   6.58883958e+04  6.38547820e+04  1.76e-03 1.36e-12  2.11e-03    86s
  53   6.58214713e+04  6.39119901e+04  1.65e-03 2.27e-12  1.98e-03    87s
  54   6.57275204e+04  6.39781524e+04  1.51e-03 1.36e-12  1.82e-03    88s
  55   6.55579815e+04  6.41047492e+04  1.26e-03 8.53e-14  1.51e-03    90s
  56   6.54523379e+04  6.41580273e+04  1.10e-03 4.22e-15  1.34e-03    91s
  57   6.53933364e+04  6.42323998e+04  1.00e-03 2.27e-13  1.20e-03    92s
  58   6.53355465e+04  6.42750808e+04  9.11e-04 4.55e-13  1.10e-03    94s
  59   6.52916507e+04  6.43180191e+04  8.45e-04 4.00e-15  1.01e-03    95s
  60   6.52513319e+04  6.43318341e+04  7.75e-04 1.36e-12  9.54e-04    96s
  61   6.52161368e+04  6.43979437e+04  7.18e-04 2.00e-15  8.49e-04    98s
  62   6.52003483e+04  6.44218761e+04  6.93e-04 2.27e-13  8.08e-04    99s
  63   6.51715214e+04  6.44477439e+04  6.46e-04 4.55e-13  7.51e-04   101s
  64   6.50964048e+04  6.44734221e+04  5.26e-04 9.09e-13  6.47e-04   102s
  65   6.50743214e+04  6.45043779e+04  4.91e-04 1.08e-15  5.92e-04   103s
  66   6.50695079e+04  6.45222016e+04  4.82e-04 2.27e-13  5.68e-04   104s
  67   6.50244574e+04  6.46127647e+04  3.84e-04 1.99e-15  4.27e-04   106s
  68   6.49941960e+04  6.46519054e+04  3.22e-04 2.07e-15  3.55e-04   107s
  69   6.49642842e+04  6.46929936e+04  2.60e-04 2.23e-15  2.82e-04   109s
  70   6.49323984e+04  6.47151427e+04  1.96e-04 2.00e-15  2.25e-04   111s
  71   6.49225191e+04  6.47356086e+04  1.76e-04 3.00e-15  1.94e-04   113s
  72   6.49036552e+04  6.47485339e+04  1.37e-04 1.82e-12  1.61e-04   115s
  73   6.48889161e+04  6.47698679e+04  1.07e-04 6.82e-13  1.24e-04   116s
  74   6.48804727e+04  6.47787422e+04  8.95e-05 3.18e-12  1.06e-04   118s
  75   6.48743466e+04  6.47891773e+04  7.75e-05 1.71e-13  8.84e-05   121s
  76   6.48674142e+04  6.47979540e+04  6.40e-05 4.22e-15  7.21e-05   123s
  77   6.48618106e+04  6.48043437e+04  5.35e-05 1.20e-15  5.96e-05   125s
  78   6.48572226e+04  6.48127287e+04  4.51e-05 1.14e-12  4.62e-05   127s
  79   6.48519860e+04  6.48151315e+04  3.55e-05 6.82e-13  3.82e-05   129s
  80   6.48476360e+04  6.48197705e+04  2.77e-05 6.82e-13  2.89e-05   131s
  81   6.48465443e+04  6.48222566e+04  2.58e-05 1.36e-12  2.52e-05   134s
  82   6.48422357e+04  6.48232983e+04  1.83e-05 1.94e-15  1.97e-05   136s
  83   6.48403226e+04  6.48255909e+04  1.49e-05 7.11e-14  1.53e-05   138s
  84   6.48394162e+04  6.48264316e+04  1.35e-05 1.14e-13  1.35e-05   141s
  85   6.48386589e+04  6.48274724e+04  1.22e-05 4.55e-13  1.16e-05   143s
  86   6.48375560e+04  6.48278440e+04  1.03e-05 7.99e-15  1.01e-05   146s
  87   6.48360392e+04  6.48291613e+04  7.55e-06 2.78e-15  7.14e-06   149s
  88   6.48347802e+04  6.48301199e+04  5.39e-06 4.26e-14  4.84e-06   152s
  89   6.48342029e+04  6.48304923e+04  4.39e-06 6.82e-13  3.85e-06   155s
  90   6.48332144e+04  6.48308591e+04  2.73e-06 9.09e-13  2.44e-06   157s
  91   6.48324713e+04  6.48310772e+04  1.51e-06 4.32e-12  1.45e-06   158s
  92   6.48322603e+04  6.48312797e+04  1.09e-06 3.56e-14  1.02e-06   160s
  93   6.48321904e+04  6.48313085e+04  9.53e-07 1.59e-12  9.15e-07   161s
  94   6.48319064e+04  6.48314014e+04  5.39e-07 4.04e-12  5.24e-07   162s
  95   6.48317732e+04  6.48314549e+04  1.51e-06 7.50e-13  3.30e-07   164s
  96   6.48316963e+04  6.48315077e+04  5.04e-07 1.93e-12  1.96e-07   166s
  97   6.48316040e+04  6.48315238e+04  7.90e-06 6.58e-10  8.33e-08   168s
  98   6.48315624e+04  6.48315424e+04  1.61e-05 6.97e-10  2.07e-08   169s
  99   6.48315488e+04  6.48315457e+04  2.20e-06 1.64e-10  3.20e-09   171s
 100   6.48315469e+04  6.48315466e+04  7.32e-07 1.86e-09  3.34e-10   173s
 101   6.48315467e+04  6.48315467e+04  7.84e-08 3.51e-09  3.35e-11   174s

Barrier solved model in 101 iterations and 173.62 seconds (175.11 work units)
Optimal objective 6.48315467e+04

