area,H2_import,biogas_import,biomass_coge,coal,geothermal_coge,lake,lost_load,marine,methanization,natural_gas,nuclear,offshore_float,offshore_ground,onshore,pv_ground,pv_roof_com,pv_roof_indiv,pyrogazification,river,rsv_dummy,waste,ch4_ccgt,ch4_ocgt,electrolysis,h2_ccgt,methanation,ocgt_coge,battery_1h,battery_2h,battery_4h,battery_8h,ch4_reservoir,h2_saltcavern,phs,str_dummy
BE,0.0,0.0,34.2108942828,0.0,0.0,0.0,0.0,0.0,138.64840182527126,0.0,0.0,501.5,239.70000000000002,371.2,260.1,431.97,486.1600000000001,0.0,7.540482252917875,0.0,0.0,0.00010895041454569263,82.958188408021,84.66206155180734,431.50869389467846,0.1747140512911266,3.050946684634372e-09,0.0001045853386284268,0.0002701420199695434,118.09764477587933,0.0015166155032520462,0.0,0.0,96.2,0.0
CH,0.0,0.0,0.0,0.0,0.0,584.6,0.0,0.0,69.32420091233102,0.0,0.0,0.0,0.0,374.4,208.08,346.29,387.03999999999996,60.812825851435534,622.0190851403005,0.0,0.0,2.0489678005710165e-05,6.343437734473791e-06,102.44681877853021,54.542212082389646,58.95956622753667,0.0,9.673164991462356e-05,0.00021238559202641866,0.0004887844319104832,0.0001273688906243136,0.0,0.0,230.88,0.0
DE,0.0,0.0,36.984750576,0.0,7.5375000000000005,29.6,0.0,0.0,1559.7945205469332,0.0,0.0,4052.12,1973.53,4147.2,1924.74,3196.935,3596.6400000000003,3.769937951153141,329.87219240476577,0.0,0.0,0.00011330273806474759,687.3543959551921,817.0514897599699,1459.2627664499548,1050.2787789041101,0.0,0.0001020018286583428,0.00026159116240866934,494.8642050995161,0.001582157257829306,0.0,0.0,481.0,0.0
ES,0.0,0.0,21.266231581200003,0.0,215.5725,865.8,0.0,1271.875,970.5388127844171,0.0,0.0,672.01,327.59,2860.8,766.5300000000001,1265.5650000000003,1444.3200000000002,1118.4766128613503,340.55253446415225,0.0,0.0,0.00010652636714771977,239.8617848261705,419.2031732118339,423.4343482859068,197.91738048953593,0.0,9.559418139999453e-05,0.0002320950728646611,623.8437423024334,0.0008859241962187125,0.0,0.0,473.6,0.0
FR,0.0,0.0,0.0,0.0,20.35125,964.3080600000001,0.0,478.8540625,2816.503814001081,0.0,322.52120742785235,2938.59943,1477.437292,2580.97216,1059.904899,1534.0200750000001,1973.863408,649.6151515629363,587.4742395731391,0.0,0.0,0.00048434183810519614,405.8125496463656,328.5522084585344,0.000562593417406936,3.4940620200915316,6.2412700863734455e-09,0.0002927635555575545,0.0013174923903590148,346.96055366080145,0.00063192493226904,19.12513630379005,140.23022445326808,374.4400000697622,0.0
IE,0.0,0.0,2.7738562931999997,0.0,0.0,0.0,0.0,0.0,242.6347031928749,0.0,0.0,1644.9199999999998,799.0,588.8,90.27000000000001,149.94000000000003,169.92000000000002,30.934451999128342,15.3390717533187,0.0,0.0,0.0001261648774544688,105.91109148210316,202.03310083472147,0.3138212166641069,722.7197004298129,3.804379375997363e-09,0.00010821323181127812,0.0002468525683397183,45.71757249641002,0.0015708022237525964,0.0,0.0,0.0,0.0
IT,0.0,0.0,52.70326957079999,0.0,195.975,666.0,0.0,0.0,641.2488584462642,0.0,0.0,862.5799999999999,423.47,2163.2,954.2610000000001,1585.6155,1784.16,2365.3524427026637,981.4029421462384,0.0,0.0,7.992984225114152e-05,179.06585279691106,332.5572878049031,995.4760006145317,9.472592825457161e-05,4.878823402086836e-09,0.00010205502016128006,0.00024256298495571753,702.7400871496608,124.42630207165533,0.0,0.0,534.28,0.0
NL,0.0,0.0,13.869281465999999,0.0,0.0,0.0,0.0,0.0,173.3105022818552,0.0,0.0,3731.1600000000003,1821.7200000000003,384.0,370.26,615.825,693.84,0.0,3.0371729514088064,0.0,0.0,0.00011709678600276445,393.35060415223717,298.71963848888686,642.1833645759524,795.0474096872231,3.5101189512181996e-09,0.00010450719007710445,0.00027046648890962656,149.0413658125402,0.0015166054727930192,0.0,0.0,0.0,0.0
PT,0.0,0.0,42.532463162400006,0.0,0.0,207.2,0.0,0.0,86.65525114064025,0.0,0.0,451.34999999999997,215.73000000000002,544.0,166.77,278.46000000000004,311.52,676.2561788486114,59.29886067424567,0.0,0.0,0.00010806377936204242,0.17378321771286034,128.45568545809982,45.921135381507916,7.808234414908682,0.0,9.52490429236076e-05,0.00023064844473416835,16.436927008436623,0.0008780084033999433,0.0,0.0,347.8,0.0
UK,0.0,0.0,24.0400878744,0.0,0.0,0.0,0.0,0.0,623.9178082128587,0.0,0.0,5476.38,2668.66,1955.2,553.86,919.2750000000001,1033.68,597.1935504546126,166.46657434044147,0.0,0.0,0.00015212896961938708,776.0019455999106,432.4982195224615,1143.3766187135056,706.9614663575876,9.28181921317958e-09,0.00010853175621449603,0.0002480720437820374,572.1746010824838,0.0015857735426014923,0.0,0.0,207.2,0.0
