area,tech,dual
FR,offshore_float,-0.0
FR,offshore_ground,-0.0
FR,onshore,-150.13075644042868
FR,pv_ground,-31.9223913994973
FR,pv_roof_com,-8.609562639583677
FR,pv_roof_indiv,-0.0
FR,river,-396.1817073514434
FR,lake,-0.0
FR,nuclear,-311.82094716618036
FR,natural_gas,-0.0
FR,coal,-0.0
FR,biomass_coge,-355.03360179280907
FR,geothermal_coge,-347.5171298476285
FR,waste,-207.6863041643743
FR,marine,-32.52720346485466
FR,rsv_dummy,-0.0
FR,lost_load,-0.0
BE,offshore_float,-0.0
BE,offshore_ground,-0.0
BE,onshore,-198.58844201050667
BE,pv_ground,-14.524008755985626
BE,pv_roof_com,-0.0
BE,pv_roof_indiv,-0.0
BE,river,-0.8936276328623336
BE,lake,-902.2575629601243
BE,nuclear,-19021.48128137111
BE,coal,-0.0
BE,biomass_coge,-195.1130634656932
BE,geothermal_coge,-530.2371554137487
BE,waste,-197.0481784630834
BE,marine,-621.1031160158905
BE,rsv_dummy,-0.0
BE,lost_load,-0.0
DE,offshore_float,-0.0
DE,offshore_ground,-4.183835081913417
DE,onshore,-177.90325346426218
DE,pv_ground,-12.28931503314126
DE,pv_roof_com,-0.0
DE,pv_roof_indiv,-0.0
DE,river,-374.4929096803088
DE,lake,-0.0
DE,nuclear,-19023.45298677042
DE,coal,-0.0
DE,biomass_coge,-195.1034311862436
DE,geothermal_coge,-305.82484841914476
DE,waste,-1116.8585033837428
DE,marine,-621.0800917659129
DE,rsv_dummy,-0.0
DE,lost_load,-0.0
CH,offshore_float,-0.0
CH,offshore_ground,-0.0
CH,onshore,-47.88396151092269
CH,pv_ground,-17.150961763341165
CH,pv_roof_com,-0.0
CH,pv_roof_indiv,-0.0
CH,river,-144.0308366464387
CH,lake,-0.0
CH,nuclear,-2410.5165301971774
CH,coal,-0.0
CH,biomass_coge,-389.86170516643153
CH,geothermal_coge,-507.315865968812
CH,waste,-1093.9602381887835
CH,marine,-598.1818265709535
CH,rsv_dummy,-0.0
CH,lost_load,-0.0
IT,offshore_float,-0.0
IT,offshore_ground,-0.0
IT,onshore,-103.75698140705985
IT,pv_ground,-68.20856105090117
IT,pv_roof_com,-38.92988796321049
IT,pv_roof_indiv,-0.0
IT,river,-157.1676873421323
IT,lake,-0.0
IT,nuclear,-9030.676182629946
IT,coal,-0.0
IT,biomass_coge,-311.6152346366439
IT,geothermal_coge,-466.2263321893891
IT,waste,-234.11419993306419
IT,marine,-821.8105561463836
IT,rsv_dummy,-0.0
IT,lost_load,-0.0
ES,offshore_float,-0.0
ES,offshore_ground,-0.0
ES,onshore,-115.60265551517665
ES,pv_ground,-47.42959383268901
ES,pv_roof_com,-24.119883743364355
ES,pv_roof_indiv,-0.0
ES,river,-188.80317121310554
ES,lake,-0.0
ES,nuclear,-17848.678332675503
ES,coal,-0.0
ES,biomass_coge,-209.17161513348947
ES,geothermal_coge,-306.3969751226983
ES,waste,-198.95968097491092
ES,marine,-9.787644856879353
ES,rsv_dummy,-0.0
ES,lost_load,-0.0
UK,offshore_float,-0.0
UK,offshore_ground,-0.0
UK,onshore,-232.04572466816938
UK,pv_ground,-22.682612309175532
UK,pv_roof_com,-1.9165174561290264
UK,pv_roof_indiv,-0.0
UK,river,-167.13383739502243
UK,lake,-893.2246709454769
UK,nuclear,-52491.09522344759
UK,coal,-0.0
UK,biomass_coge,-170.39790895121683
UK,geothermal_coge,-521.2042633991026
UK,waste,-1107.848635619073
UK,marine,-612.0702240012436
UK,rsv_dummy,-0.0
UK,lost_load,-0.0
NL,offshore_float,-0.0
NL,offshore_ground,-0.0
NL,onshore,-190.7539978235717
NL,pv_ground,-10.450587683820798
NL,pv_roof_com,-0.0
NL,pv_roof_indiv,-0.0
NL,river,-136.6784587960261
NL,lake,-902.2298801365093
NL,nuclear,-19025.424895206103
NL,coal,-0.0
NL,biomass_coge,-195.09758760436733
NL,geothermal_coge,-530.2094725901318
NL,waste,-1116.853844810105
NL,marine,-621.075433192276
NL,rsv_dummy,-0.0
NL,lost_load,-0.0
IE,offshore_float,-0.0
IE,offshore_ground,-0.0
IE,onshore,-285.81389668893206
IE,pv_ground,-20.706344731979062
IE,pv_roof_com,-0.07437686598902635
IE,pv_roof_indiv,-0.0
IE,river,-367.38882713204106
IE,lake,-893.1967457170989
IE,nuclear,-52496.4076928979
IE,coal,-0.0
IE,biomass_coge,-170.3858377699078
IE,geothermal_coge,-521.1763381707219
IE,waste,-1107.8207103906948
IE,marine,-612.0422987728643
IE,rsv_dummy,-0.0
IE,lost_load,-0.0
PT,offshore_float,-0.0
PT,offshore_ground,-0.0
PT,onshore,-121.19311513264833
PT,pv_ground,-50.212145290724386
PT,pv_roof_com,-26.57199504408588
PT,pv_roof_indiv,-0.0
PT,river,-0.0
PT,lake,-0.0
PT,nuclear,-17850.507261005238
PT,coal,-0.0
PT,biomass_coge,-209.1667698169936
PT,geothermal_coge,-530.9129215845787
PT,waste,-1117.557293804552
PT,marine,-621.7788821867222
PT,rsv_dummy,-0.0
PT,lost_load,-0.0
