
Gurobi 13.0.2 (linux64) logging started Wed Jul 29 22:34:35 2026

Set parameter LogFile to value "outputs/batch_step2_2060/2053_FR_alone/logfile_2053_FR_alone.txt"
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "CentOS Stream 9")

CPU model: Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 16 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
Method  2
Crossover  0
NumericFocus  3
Presolve  2

Optimize a model with 1007906 rows, 823495 columns and 3978219 nonzeros (Min)
Model fingerprint: 0xe2bd1e3d
Model has 210275 linear objective coefficients
Coefficient statistics:
  Matrix range     [1e-04, 1e+02]
  Objective range  [6e-04, 3e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [7e-02, 1e+05]

Presolve removed 444263 rows and 260000 columns (presolve time = 8s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 10s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 15s)...
Presolve removed 447097 rows and 262834 columns (presolve time = 20s)...
Presolve removed 578499 rows and 271597 columns (presolve time = 25s)...
Presolve removed 578499 rows and 271597 columns (presolve time = 30s)...
Presolve removed 587259 rows and 271597 columns
Presolve time: 30.55s
Presolved: 420647 rows, 560658 columns, 2325155 nonzeros
Ordering time: 0.41s

Barrier statistics:
 Dense cols : 18
 AA' NZ     : 2.035e+06
 Factor NZ  : 9.241e+06 (roughly 500 MB of memory)
 Factor Ops : 4.864e+08 (less than 1 second per iteration)
 Threads    : 16

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   9.13506603e+07 -6.55964814e+11  1.67e+08 1.14e-13  2.55e+07    32s
   1   9.43959112e+07 -4.64188780e+11  1.61e+08 3.81e+02  1.95e+07    32s
   2   1.08468354e+08 -3.80329090e+11  1.33e+08 2.82e+02  1.53e+07    33s
   3   1.36175615e+08 -1.98538989e+11  9.59e+07 6.35e+01  9.92e+06    34s
   4   1.49847105e+08 -1.25763413e+11  8.13e+07 2.61e+01  7.97e+06    35s
   5   2.58284970e+08 -7.42568711e+10  1.52e+07 1.16e+01  1.65e+06    35s
   6   2.95851471e+08 -2.81723691e+10  2.77e+06 2.57e+00  3.23e+05    36s
   7   2.93349620e+08 -2.02686703e+10  8.31e+05 1.57e+00  1.21e+05    36s
   8   2.87258090e+08 -8.13297721e+09  2.75e+05 3.57e-01  3.84e+04    37s
   9   2.31128859e+08 -3.01806337e+09  5.31e+04 8.81e-02  8.93e+03    37s
  10   1.33002391e+08 -1.54316858e+09  1.02e+04 3.69e-02  2.91e+03    38s
  11   5.41933205e+07 -7.98443204e+08  1.27e+03 1.67e-02  1.13e+03    39s
  12   3.53294333e+07 -7.22227260e+08  4.99e+02 1.49e-02  9.59e+02    39s
  13   1.95568458e+07 -1.99492362e+08  8.58e+01 3.31e-03  2.62e+02    40s
  14   6.92220619e+06 -3.13423546e+07  1.27e+01 5.19e-04  4.32e+01    41s
  15   2.52372079e+06 -7.17732304e+06  3.32e+00 1.17e-04  1.05e+01    42s
  16   1.35651493e+06 -3.45589137e+06  1.51e+00 4.93e-05  5.11e+00    43s
  17   7.06661741e+05 -1.57195462e+06  7.27e-01 1.10e-11  2.39e+00    44s
  18   4.25156803e+05 -5.78766913e+05  4.08e-01 4.00e-13  1.05e+00    45s
  19   2.44687260e+05 -2.06074918e+05  1.97e-01 2.01e-13  4.69e-01    46s
  20   1.95473026e+05 -7.39719636e+04  1.41e-01 4.55e-13  2.80e-01    46s
  21   1.54011937e+05 -3.72974378e+04  9.38e-02 2.73e-12  1.99e-01    47s
  22   1.34349177e+05  5.58267197e+03  7.23e-02 1.36e-12  1.34e-01    49s
  23   1.19815804e+05  2.16956320e+04  5.74e-02 4.55e-13  1.02e-01    50s
  24   1.14468499e+05  3.04196890e+04  5.13e-02 2.46e-14  8.73e-02    51s
  25   1.07505295e+05  3.60685859e+04  4.34e-02 1.59e-12  7.42e-02    52s
  26   9.86006992e+04  4.19022441e+04  3.37e-02 1.59e-12  5.89e-02    53s
  27   9.35546944e+04  4.62918207e+04  2.82e-02 2.50e-12  4.91e-02    54s
  28   8.72637680e+04  5.01639934e+04  2.18e-02 1.18e-14  3.85e-02    56s
  29   8.42971806e+04  5.22563187e+04  1.89e-02 2.09e-14  3.33e-02    57s
  30   8.10839054e+04  5.53138428e+04  1.52e-02 7.66e-15  2.68e-02    59s
  31   7.96178798e+04  5.74870133e+04  1.37e-02 1.36e-12  2.30e-02    60s
  32   7.79259888e+04  5.87168746e+04  1.19e-02 3.77e-15  1.99e-02    61s
  33   7.67931103e+04  6.00174189e+04  1.06e-02 1.36e-12  1.74e-02    63s
  34   7.59355547e+04  6.06681705e+04  9.63e-03 1.82e-12  1.58e-02    64s
  35   7.51050453e+04  6.20003544e+04  8.73e-03 1.11e-15  1.36e-02    66s
  36   7.43943432e+04  6.26168240e+04  7.91e-03 1.42e-14  1.22e-02    67s
  37   7.31146433e+04  6.30833752e+04  6.44e-03 2.66e-15  1.04e-02    69s
  38   7.27211083e+04  6.36087055e+04  5.96e-03 7.22e-15  9.46e-03    70s
  39   7.20391217e+04  6.40131577e+04  5.13e-03 4.55e-15  8.33e-03    72s
  40   7.17234932e+04  6.42606008e+04  4.73e-03 2.27e-12  7.75e-03    73s
  41   7.14569328e+04  6.46416333e+04  4.40e-03 1.14e-12  7.07e-03    75s
  42   7.11720695e+04  6.49016531e+04  4.04e-03 3.77e-15  6.51e-03    76s
  43   7.07589356e+04  6.51142441e+04  3.48e-03 2.44e-15  5.86e-03    78s
  44   7.05203420e+04  6.55514136e+04  3.13e-03 3.41e-12  5.16e-03    79s
  45   7.02063566e+04  6.58178301e+04  2.69e-03 1.14e-12  4.56e-03    81s
  46   7.00347967e+04  6.60482743e+04  2.44e-03 5.00e-15  4.14e-03    82s
  47   6.98891543e+04  6.64888802e+04  2.23e-03 2.33e-15  3.53e-03    84s
  48   6.97430041e+04  6.67428290e+04  2.01e-03 2.00e-15  3.11e-03    85s
  49   6.95163349e+04  6.69070572e+04  1.68e-03 1.59e-12  2.71e-03    87s
  50   6.93734987e+04  6.70627162e+04  1.46e-03 1.82e-12  2.40e-03    88s
  51   6.92961785e+04  6.72353268e+04  1.35e-03 2.27e-13  2.14e-03    89s
  52   6.91982709e+04  6.74039186e+04  1.20e-03 1.36e-12  1.86e-03    91s
  53   6.90307005e+04  6.75202699e+04  9.50e-04 3.87e-12  1.57e-03    92s
  54   6.89454448e+04  6.76043520e+04  8.22e-04 6.82e-13  1.39e-03    94s
  55   6.88714158e+04  6.76918461e+04  7.13e-04 1.82e-12  1.22e-03    95s
  56   6.87812888e+04  6.77496218e+04  5.80e-04 2.44e-15  1.07e-03    97s
  57   6.87417808e+04  6.78653759e+04  5.20e-04 3.44e-15  9.10e-04    98s
  58   6.87160341e+04  6.79254970e+04  4.83e-04 9.95e-14  8.21e-04   100s
  59   6.87073208e+04  6.79303591e+04  4.70e-04 2.84e-14  8.06e-04   101s
  60   6.86620990e+04  6.79526563e+04  4.07e-04 8.60e-16  7.36e-04   103s
  61   6.86455995e+04  6.79878312e+04  3.84e-04 3.18e-12  6.83e-04   104s
  62   6.86330580e+04  6.80098270e+04  3.66e-04 4.26e-14  6.47e-04   105s
  63   6.86181090e+04  6.80276602e+04  3.44e-04 5.68e-14  6.13e-04   106s
  64   6.86059758e+04  6.80593803e+04  3.27e-04 6.82e-13  5.67e-04   108s
  65   6.85793589e+04  6.81074228e+04  2.86e-04 9.09e-13  4.90e-04   109s
  66   6.85626442e+04  6.81328713e+04  2.63e-04 2.84e-14  4.46e-04   110s
  67   6.85374532e+04  6.81504337e+04  2.27e-04 6.82e-13  4.02e-04   111s
  68   6.85233542e+04  6.81574855e+04  2.07e-04 2.84e-14  3.80e-04   112s
  69   6.85159941e+04  6.81797409e+04  1.97e-04 8.68e-16  3.49e-04   113s
  70   6.85061853e+04  6.81941861e+04  1.84e-04 6.82e-13  3.24e-04   115s
  71   6.84995858e+04  6.82232753e+04  1.74e-04 5.68e-14  2.87e-04   116s
  72   6.84920922e+04  6.82418820e+04  1.64e-04 2.27e-13  2.60e-04   117s
  73   6.84739299e+04  6.82553869e+04  1.40e-04 1.59e-12  2.27e-04   119s
  74   6.84641201e+04  6.82623823e+04  1.26e-04 5.68e-14  2.09e-04   120s
  75   6.84542034e+04  6.82770173e+04  1.13e-04 6.55e-15  1.84e-04   122s
  76   6.84431983e+04  6.82851389e+04  9.79e-05 2.27e-13  1.64e-04   124s
  77   6.84376936e+04  6.82913235e+04  9.06e-05 4.55e-13  1.52e-04   125s
  78   6.84325304e+04  6.82953388e+04  8.38e-05 2.27e-13  1.42e-04   127s
  79   6.84286316e+04  6.82980883e+04  7.84e-05 2.84e-14  1.36e-04   129s
  80   6.84240506e+04  6.83045147e+04  7.24e-05 1.30e-15  1.24e-04   130s
  81   6.84205846e+04  6.83069860e+04  6.76e-05 2.05e-12  1.18e-04   132s
  82   6.84185060e+04  6.83136750e+04  6.48e-05 4.88e-15  1.09e-04   134s
  83   6.84153321e+04  6.83166538e+04  6.08e-05 6.82e-13  1.02e-04   136s
  84   6.84125699e+04  6.83203984e+04  5.72e-05 2.27e-13  9.57e-05   138s
  85   6.84079603e+04  6.83249552e+04  5.12e-05 5.33e-15  8.62e-05   140s
  86   6.84039692e+04  6.83283749e+04  4.60e-05 5.68e-14  7.85e-05   142s
  87   6.83962021e+04  6.83327855e+04  3.58e-05 1.33e-15  6.58e-05   145s
  88   6.83915103e+04  6.83386005e+04  2.96e-05 3.52e-15  5.49e-05   147s
  89   6.83899967e+04  6.83446282e+04  2.77e-05 9.09e-13  4.71e-05   148s
  90   6.83873336e+04  6.83478613e+04  2.44e-05 1.42e-14  4.10e-05   150s
  91   6.83853133e+04  6.83503183e+04  2.19e-05 1.14e-12  3.63e-05   153s
  92   6.83840246e+04  6.83507038e+04  2.02e-05 5.22e-15  3.46e-05   155s
  93   6.83820788e+04  6.83539805e+04  1.77e-05 6.82e-13  2.92e-05   157s
  94   6.83801569e+04  6.83557107e+04  1.53e-05 4.55e-13  2.54e-05   160s
  95   6.83772964e+04  6.83585815e+04  1.16e-05 9.09e-13  1.94e-05   162s
  96   6.83733582e+04  6.83613218e+04  6.72e-06 9.95e-14  1.25e-05   165s
  97   6.83720884e+04  6.83637361e+04  5.16e-06 1.82e-12  8.67e-06   167s
  98   6.83702128e+04  6.83653785e+04  2.88e-06 8.60e-16  5.02e-06   170s
  99   6.83698062e+04  6.83657200e+04  6.12e-06 8.16e-14  4.24e-06   172s
 100   6.83695213e+04  6.83660312e+04  5.25e-06 1.14e-12  3.62e-06   174s
 101   6.83692114e+04  6.83664840e+04  4.31e-06 5.16e-14  2.83e-06   175s
 102   6.83691069e+04  6.83665863e+04  4.01e-06 4.80e-14  2.62e-06   177s
 103   6.83688329e+04  6.83668720e+04  3.30e-06 1.59e-12  2.04e-06   178s
 104   6.83683422e+04  6.83671672e+04  1.80e-06 2.73e-12  1.22e-06   179s
 105   6.83681283e+04  6.83674294e+04  1.18e-06 1.71e-14  7.25e-07   181s
 106   6.83679219e+04  6.83675440e+04  5.97e-07 2.84e-14  3.92e-07   182s
 107   6.83677970e+04  6.83676602e+04  2.18e-07 5.80e-12  1.42e-07   184s
 108   6.83677464e+04  6.83676868e+04  6.51e-08 8.24e-12  6.19e-08   186s
 109   6.83677272e+04  6.83677146e+04  9.52e-08 4.27e-11  1.31e-08   188s
 110   6.83677235e+04  6.83677208e+04  1.84e-07 5.99e-11  2.86e-09   189s
 111   6.83677226e+04  6.83677219e+04  3.68e-06 1.41e-10  7.59e-10   190s
 112   6.83677223e+04  6.83677222e+04  7.93e-07 3.19e-09  8.42e-11   191s

Barrier solved model in 112 iterations and 191.35 seconds (182.44 work units)
Optimal objective 6.83677223e+04

