tech,BE,CH,DE,ES,IT,UK,IE,NL,PT,FR
phs_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.482857781237545
battery_1h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266198501757251e-07
battery_2h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1548953678662479e-06
battery_4h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.89495276339357
battery_8h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.98275869728919
electrolysis_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.79342669493639
methanation_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.70662846107876
str_dummy_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demand,113.65437708473604,70.05314212428124,645.3775387360797,332.19069775582994,404.9830284257959,520.7138062259155,43.39273345426479,200.63037793564524,72.82708052188197,501.8103218647705
curtailment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.67852549415048
elec_trade_exports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
