tech,BE,CH,DE,ES,IT,UK,IE,NL,PT,FR
offshore_float,20.565434725,0.0,175.80650153099995,19.70635538814286,21.169612613199998,236.7388529415,67.98017842839998,167.01050697280002,15.319260150749999,111.23252182161572
offshore_ground,11.566344059999999,0.0,100.46823075466668,11.088503832999999,13.046389168599998,132.75178939342857,36.695450199999996,95.77744397600001,8.494490007,65.951339457283
onshore,38.72914140533333,19.578975623999998,368.5625252845714,213.46994864454544,146.10954536285712,236.01648417316665,73.82310423199999,39.48008969999999,37.937207395,222.27753437134817
pv_ground,17.53133177,16.484585568,130.15030867,77.32189512000001,87.47090941050001,33.10676249,5.208525133,24.061678123999993,16.842281169000003,82.84797698583208
pv_roof_com,21.906830506,20.523306559999998,162.797066091,95.921871311,109.05565206689998,40.692432995,6.468812027999999,30.01288239,21.2703621,90.34132806516
pv_roof_indiv,10.357273974000003,9.595344061999999,76.769717682,45.012600612,50.802351012,19.694501808,3.114799992,14.308926785999999,9.740974979999999,48.3101262521152
river,0.1768073521286943,24.925648697974115,18.559772951889503,12.86068846831137,31.62234913536334,5.119618897745637,0.7685137282065353,0.11230787569538583,0.14929376719736362,39.194532639302544
lake,0.0,13.94861780960868,0.4163327036250155,14.55471511572618,14.599640171119535,0.0,0.0,0.0,5.285934782854838,16.855472239454045
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.85091999992331
phs,2.0368300499632537,6.689246150068182,10.166231992342816,10.784940244626428,15.27734093078558,4.206445604155965,0.0,0.0,9.639943773351101,7.960021265151616
battery_1h,8.135873562154761e-06,5.144577519315083e-06,7.884941263498518e-06,5.311788097509792e-06,5.849838690655767e-06,6.591298168837916e-06,6.5675786671539925e-06,7.991414875999823e-06,5.311710102239296e-06,7.668322614603338e-06
battery_2h,3.010869231926711e-05,8.475846499019747e-06,2.9102521588013544e-05,1.061608358875244e-05,1.3434347682734285e-05,1.2233935278481737e-05,1.2187722360655398e-05,2.985364783484479e-05,1.0617541557443604e-05,3.93625891096848e-05
battery_4h,6.2736877410672,1.3045106780617771e-05,26.748619203571536,30.245644555554723,29.171431786714738,22.733779943804347,1.2990449688078514,10.758928450745472,1.886815814546761,8.938940318756641
battery_8h,5.538150197454911e-05,4.953082142026781e-06,5.8533847070034866e-05,0.00041621577804387363,13.847510610889024,3.569631521892788e-05,3.540643150811289e-05,5.503238019169407e-05,0.000406755376091085,2.286142846020893e-05
ch4_ocgt,0.40100593312287214,2.7031223251829505e-07,5.421980663635458,1.2460942569351912,0.7523619122288677,4.623116769933644,0.5397587406507158,2.1611020402085126,0.17092413271859475,5.174246046101399e-07
ch4_ccgt,9.613634110451451e-07,4.1288127955224066e-07,9.27378275575588e-07,8.602403197886717e-07,7.919629580204378e-07,1.0379807021583464e-06,8.635289086615621e-07,1.0191448926023098e-06,8.524012408035345e-07,8.264857588180066e-07
h2_ccgt,11.16055701498429,1.081206078699951,23.99916737092218,6.785048952247378,40.628559120738835,34.595215704369025,0.02327464582560695,12.950593327494255,0.08773624431782878,1.1255649616462365e-06
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_coge,1.2971864928000003,0.0,1.402363776,0.8063591712000001,1.9983683807999997,0.9115364544000001,0.10517728319999996,0.5258864159999999,1.6127183424000002,0.0
geothermal_coge,0.0,0.0,0.350000933382,10.010026694725198,9.100024267931998,0.0,0.0,0.0,0.0,0.9450025201314001
waste,1.00091601948294,0.0,0.0,0.39430025009934,1.1980661445326102,0.0,0.0,0.0,0.0,4.309060221438507
marine,0.0,0.0,0.0,14.599796699999999,0.0,0.0,0.0,0.0,0.0,5.49674453973
ocgt_coge,1.8413323022856238e-11,0.0,0.0,0.0,3.850216395956027e-11,1.0319813019033906e-10,2.3244935484458315e-11,2.4201174177223585e-11,0.0,5.3426671848415845e-11
str_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elec_trade_imports,72.53655011870475,12.467015330188845,155.1589775959416,89.48851065465755,13.002359407608285,101.50476975304433,65.71687736523182,82.64122910580619,66.04589435839078,108.58061261036791
