area,H2_import,biogas_import,biomass_coge,coal,geothermal_coge,lake,lost_load,marine,methanization,natural_gas,nuclear,offshore_float,offshore_ground,onshore,pv_ground,pv_roof_com,pv_roof_indiv,pyrogazification,river,rsv_dummy,waste,ch4_ccgt,ch4_ocgt,electrolysis,h2_ccgt,methanation,ocgt_coge,battery_1h,battery_2h,battery_4h,battery_8h,ch4_reservoir,h2_saltcavern,phs,str_dummy
BE,0.0,3.0141817263684273e-05,0.37,0.0,0.0,0.0,0.0,0.0,0.9132420091267949,0.0,0.0,5.0,3.0,11.6,17.0,24.2,10.3,0.0,0.1,0.0,0.66,2.030494714920554e-06,2.2066198946922424,5.524807125707322,8.156910112512007,0.00239083663967997,1.6109515002909118e-11,8.759336530633737e-06,3.391111830252203e-05,5.36410502403622,2.7037485237183705e-05,0.0,0.0,1.3,0.0
CH,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.45662100456091403,0.0,0.0,0.0,0.0,11.7,13.6,19.4,8.2,0.0011209321136123095,8.2,0.0,0.0,4.650146893304863e-07,3.036154699311177e-07,6.364403738179323,0.7405491764255596,1.1587623423054016,0.0,4.626119121015185e-06,7.656658955002803e-06,8.533428259556948e-06,1.9610754033441317e-06,0.0,0.0,3.12,0.0
DE,0.0,4.826855834665125e-06,0.4,0.0,0.05,0.4,0.0,0.0,10.273972602733751,0.0,0.0,40.4,24.7,129.6,125.8,179.1,76.2,0.006397549125037992,4.29,0.0,0.0,2.051623707048482e-06,39.77974761958077,49.570572539726875,22.427282966398824,11.095233476278922,0.0,8.521139397621112e-06,3.267313044279829e-05,22.963335666925616,2.860992007263982e-05,0.0,0.0,6.5,0.0
ES,0.0,1.574296733176901e-05,0.23,0.0,1.43,11.7,0.0,3.7,6.392694063921241,0.0,0.0,6.7,4.1,89.4,50.1,70.9,30.6,0.012672825913392385,4.5,0.0,0.26,1.8307148458313474e-06,6.059559340731644,27.69019770003664,5.8685903021218815,3.7477573165487517,0.0,4.861285536338033e-06,1.017142679108253e-05,24.057948513767435,0.00018274741766171622,0.0,0.0,6.4,0.0
FR,0.0,0.0,0.0,0.0,0.135,13.03119,0.0,1.39303,18.55159934975863,0.0,2.095714285714286,29.2981,18.49108,80.65538,69.27483,85.9395,41.81914,0.9265239922345422,7.6,0.0,2.841376989468684,2.124013019461474e-06,5.351765475284281e-06,25.11376428646308,2.0865470427337893e-06,0.7571755253492756,4.6742120943037184e-11,1.747801172834348e-05,8.118460822548955e-05,11.754073761749673,1.208873282347372e-05,88.417,5.680884000984043,5.060000000303902,0.0
IE,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.5981735159751786,0.0,0.0,16.4,10.0,18.4,5.9,8.4,3.6,0.015334748545351922,0.2,0.0,0.0,1.7177476327532146e-06,3.202889605431054,17.202609988629625,0.026928907035183695,4.840467864161535,2.0336613682588266e-11,5.347055200761676e-06,1.1035566951615065e-05,1.2220936792523367,1.8485170231801667e-05,0.0,0.0,0.0,0.0
IT,0.0,4.766063772104709e-05,0.57,0.0,1.3,9.0,0.0,0.0,4.223744292231494,0.0,0.0,8.6,5.3,67.6,62.370000000000005,88.83,37.8,3.5084184304587778,13.0,0.0,0.79,1.415655641961302e-06,4.627856738394113,24.576720874393096,20.2512499868691,9.98425973655892e-07,3.368491321099904e-11,5.591175487424622e-06,1.3247440410916419e-05,23.111427010547818,6.523159670673503,0.0,0.0,7.22,0.0
NL,0.0,2.13048153921356e-05,0.15,0.0,0.0,0.0,0.0,0.0,1.1415525114097569,0.0,0.0,37.2,22.8,12.0,24.2,34.5,14.7,0.0,0.04,0.0,0.0,2.137131661541815e-06,13.990060985712569,18.052227117387748,12.235346585433712,9.244440143664173,2.1173211267301407e-11,8.739742861710465e-06,3.3867809226776184e-05,9.51417746908773,2.6963453974271806e-05,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.46,0.0,0.0,2.8,0.0,0.0,0.5707762557024538,0.0,0.0,4.5,2.7,17.0,10.9,15.6,6.6,0.9236567293521647,0.8,0.0,0.0,1.8154397697866301e-06,0.9830178109568777,7.578854161873454,0.08132879973160415,0.7401122799838274,0.0,4.8518584574898405e-06,1.0139953653905816e-05,1.4698250655107372,0.00017872895402492984,0.0,0.0,4.7,0.0
UK,0.0,5.7212823695161754e-05,0.26,0.0,0.0,0.0,0.0,0.0,4.109589041086124,0.0,0.0,54.6,33.4,61.1,36.2,51.5,21.9,0.0014202626943048227,2.2,0.0,0.0,2.0498059191019754e-06,33.13216310522191,27.82056076866301,31.80692545993453,6.26129565267859,9.028635540200047e-11,5.356163024630226e-06,1.1073952634005709e-05,22.54746209396141,1.8643597997286835e-05,0.0,0.0,2.8,0.0
