tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
offshore_float,46.9530473173516,,49.676325085616426,33.57587982713634,43.339931475606825,47.318867933789946,28.100260981735158,51.250339695586,38.86164421803653,49.496306249999996
offshore_ground,44.01196369863013,,46.43310167427702,30.873437557077622,40.715262271689504,41.88978333333333,28.100260981735154,47.9539393455099,35.91446815068493,45.37219717873451
onshore,38.113231582952814,19.102930593607304,32.464002804957595,27.258071139476964,31.45995686746045,45.80051632420091,24.67333113176777,37.557162956621006,25.474890810502288,44.09577909056316
pv_ground,11.772315182648402,13.836779452054792,11.81028710045662,17.618164383561645,13.652190296803651,10.077635502283105,16.00972203196347,11.350276484018263,17.63885171232877,10.440085045662101
pv_roof_com,10.333800570776255,12.076511415525113,10.376404223744293,15.444267009132423,12.000229223744292,8.791057876712328,14.014719520547944,9.930806164383563,15.564894406392693,9.019912442922372
pv_roof_indiv,11.479002054794524,13.358035502283103,11.500874543378997,16.792237671232876,13.187393607305935,9.87696598173516,15.342209360730594,11.111830821917806,16.848234018264836,10.26589406392694
river,20.183487685924007,34.69992301199203,49.38684248142516,32.624780487852284,58.871864694938935,43.86493882457393,27.768132363332754,32.05133438795257,2.13033343603544,26.565062773690517
lake,,20.155797077638113,11.881641085188797,14.200830421619424,14.765655834995444,,18.51806211456055,,21.550614737666496,
nuclear,,,,,69.99999999958224,,,,,
methanization,100.00000000000004,99.99999999999994,100.0,100.0,99.99999981297886,100.00000000000003,100.0,99.99999999999997,99.99999999999997,100.0
pyrogazification,,99.99999999999997,100.00000000000003,100.00000000000003,99.99999779452068,99.99999999999997,99.99999999999997,,99.99999999999996,100.00000000000003
ocgt_coge,0.0,,,,0.0,0.0,0.0,0.0,,0.0
natural_gas,,,,,,,,,,
biogas_import,0.0,,0.0,0.0,,,0.0,0.0,,0.0
H2_import,,,,,,,,,,
coal,,,,,,,,,,
biomass_coge,40.021797260273985,,40.02179726027398,40.02179726027397,,40.02179726027396,40.021797260273964,40.021797260273964,40.02179726027397,40.02179726027398
geothermal_coge,,,79.90888890000001,79.9088889,79.9088889,,79.90888889999998,,,
waste,17.31209387510274,,,17.31209387510274,17.31209387510274,,17.31209387510274,,,
marine,,,,45.04441780821917,45.04441780821917,,,,,
rsv_dummy,,,,,,,,,,
ch4_ocgt,2.074527339982974,0.0,1.5559363781314763,2.347500780961205,0.0,1.9237720366743043,1.8558496490889198,1.7634029358018473,1.9848966192840596,1.5928723224392187
ch4_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_ccgt,15.61910296119218,16.666732659876622,12.215616945308822,13.198211619432296,0.0,9.866434742343875,22.90210911896603,12.082847211637167,12.314890957902994,12.416244198148148
electrolysis,33.300612250254275,28.92997176061578,36.53499266909529,35.65840829176699,43.24518051488847,37.16164624556292,29.535806455066233,36.10388273557544,34.43679933743973,37.973073904853266
methanation,67.30882507814371,65.42194950370009,69.48997870203041,68.60162159096139,67.98288636131286,70.34507004371848,0.0,70.14450913415567,69.80397893824312,67.79535642328935
phs,17.88575737586278,24.47476199386848,17.854288711525843,19.23683690893698,17.958067718594986,,24.154968015636396,,23.413834094411495,17.14956622698942
battery_1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_2h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_4h,13.35123746563635,0.0,13.297263895643225,14.351594227586087,8.681475016327584,12.13432383916382,14.408768961999957,12.909031635149947,14.65412029101534,11.509855734835929
battery_8h,0.0,0.0,0.0,0.0,0.0,0.0,24.233134420702275,0.0,0.0,0.0
h2_saltcavern,,,,,40.902369359623464,,,,,
ch4_reservoir,,,,,0.49593341303327215,,,,,
str_dummy,,,,,,,,,,
lost_load,,,,,,,,,,
