technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biomass_coge,0.37,,1.2971864928000003,,-10.541995063225244
methanization,0.9132420091276585,,7.999999999958291,,544.8088622833666
offshore_float,5.0,,20.340589085,,-1049.292968413404
offshore_ground,3.0,,11.4460407,,-582.6465928535249
onshore,11.6,,38.88283575999999,,1007.8173105884243
pv_ground,17.0,,17.05218847,,-457.3585254634752
pv_roof_com,24.2,,21.318021031999997,,-963.9194809596222
pv_roof_indiv,10.3,,10.079172944000002,,-1162.8475517934344
river,0.1,,0.20093242690660632,,15.846247589666342
waste,0.66,,1.00091601948294,,79.94969386472988
ch4_ocgt,1.96536853152126,,0.2845674403169119,0.4268511604753678,0.0
electrolysis,5.276834664894355,,15.71054462133377,7.671373524450292,0.0
h2_ccgt,7.986521289608917,,12.392541911348241,8.261694607565497,0.0
methanation,0.0013215563152148186,,0.007670987832885329,0.006111791357191743,0.0
battery_4h,4.217330485534086,16.869321942136345,4.90387611740941,0.5448751241516661,0.0
battery_8h,0.2032566201285698,1.6260529610285583,0.3931788577111852,0.04368653974558789,0.0
phs,1.3,26.0,2.2530500953471386,0.692113427981405,277.71342769540587
