technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biomass_coge,0.46,,1.6127183424000002,,70.11907834845928
lake,2.8,,3.7496287182793586,,961.8751687013262
methanization,0.5707762557041058,,4.999999999967966,,570.4899804561924
offshore_float,4.5,,15.897444687,,-599.9309704892796
offshore_ground,2.7,,9.025311708,,-325.0818199389339
onshore,17.0,,41.62200329499999,,1896.1984000558527
pv_ground,10.9,,16.81954148,,384.3328104168892
pv_roof_com,15.6,,21.296544672,,206.6198233743744
pv_roof_indiv,6.6,,9.71951772,,-356.7277935142853
pyrogazification,1.0273972602649033,,8.999999999920554,,413.97199900792805
river,0.8,,0.10612872138162689,,13.374301142989621
electrolysis,9.932810141989163,,28.25887074901155,13.798652950608258,0.0
h2_ccgt,0.4489274180319576,,0.3386552555652153,0.2257701703768102,0.0
methanation,0.26440159242861744,,1.5276761074163403,1.2171623568308538,0.0
battery_4h,2.511741125316706,10.046964501266824,3.052297063466743,0.33914411816382906,0.0
battery_8h,0.051621311948386484,0.41297049558709187,0.1100439759517114,0.012227108438813333,0.0
phs,4.7,94.0,8.27091431226785,-0.4922925395526736,1147.5459897459707
