run,year,scenario,status,system_cost_M€
2040_FR_alone,2040,FR_alone,ok,47702.41866737835
2040_FR_interconnected,2040,FR_interconnected,ok,420863.2524046956
2041_FR_alone,2041,FR_alone,ok,43850.85968074106
2041_FR_interconnected,2041,FR_interconnected,ok,393594.19372452865
2042_FR_alone,2042,FR_alone,ok,48570.951821000934
2042_FR_interconnected,2042,FR_interconnected,suboptimal,425467.5967108918
2043_FR_alone,2043,FR_alone,ok,47658.186530253595
2043_FR_interconnected,2043,FR_interconnected,ok,415405.068573932
2044_FR_alone,2044,FR_alone,ok,46637.63511813255
2044_FR_interconnected,2044,FR_interconnected,ok,401724.2286536357
2045_FR_alone,2045,FR_alone,ok,44395.46412403122
2045_FR_interconnected,2045,FR_interconnected,ok,392494.18952396326
2046_FR_alone,2046,FR_alone,ok,45001.4466772224
2046_FR_interconnected,2046,FR_interconnected,ok,407729.96763126116
2047_FR_alone,2047,FR_alone,ok,46136.61898243987
2047_FR_interconnected,2047,FR_interconnected,ok,406454.45723334356
2048_FR_alone,2048,FR_alone,ok,44472.73915402724
2048_FR_interconnected,2048,FR_interconnected,ok,411745.7561706479
2049_FR_alone,2049,FR_alone,ok,45938.513172717234
2049_FR_interconnected,2049,FR_interconnected,suboptimal,391003.8619800798
2050_FR_alone,2050,FR_alone,ok,44839.0859125511
2050_FR_interconnected,2050,FR_interconnected,ok,386140.9213505668
2051_FR_alone,2051,FR_alone,ok,46387.498090922345
2051_FR_interconnected,2051,FR_interconnected,ok,397795.2682911664
2052_FR_alone,2052,FR_alone,ok,47756.141046801735
2052_FR_interconnected,2052,FR_interconnected,ok,403107.0723836455
2053_FR_alone,2053,FR_alone,ok,48375.261485215895
2053_FR_interconnected,2053,FR_interconnected,suboptimal,428991.1328564057
2054_FR_alone,2054,FR_alone,ok,46629.10763207105
2054_FR_interconnected,2054,FR_interconnected,ok,408974.17489200045
2055_FR_alone,2055,FR_alone,ok,47685.06783771478
2055_FR_interconnected,2055,FR_interconnected,ok,413966.10844271886
2056_FR_alone,2056,FR_alone,ok,43329.8025135643
2056_FR_interconnected,2056,FR_interconnected,suboptimal,382352.75322578475
2057_FR_alone,2057,FR_alone,ok,46818.012657748295
2057_FR_interconnected,2057,FR_interconnected,ok,408407.4643890356
2058_FR_alone,2058,FR_alone,ok,42837.28201664346
2058_FR_interconnected,2058,FR_interconnected,ok,381781.40265670733
2059_FR_alone,2059,FR_alone,ok,139167.15041286105
2059_FR_interconnected,2059,FR_interconnected,ok,435000.0689070285
2060_FR_alone,2060,FR_alone,ok,47030.6574733173
2060_FR_interconnected,2060,FR_interconnected,ok,395753.0490002632
