,Installed power [GW],Energy capacity [GWh],Generated energy [TWh],Load factor [%],FCR [TWh],FRR [TWh],lcoe [€/MWh],lcoe without input [€/MWh]
offshore_float,1.1998767346594636e-09,,,,,,No new plants,
offshore_ground,12.49823249565622,,45.18823889474321,41.27363418360731,,,43.18902028226565,
onshore,119.99999999987716,,318.7934302327537,30.32662007544521,,,38.65040586263816,
pv_ground_S,94.9999999995898,,134.86855722583766,16.206267390821917,,,25.45428253765139,
pv_ground_EW,1.9886025141321549e-10,,,,,,No new plants,
pv_roof_com_S,5.952679454417914e-10,,,,,,No new plants,
pv_roof_com_EW,1.2285452050113912e-10,,,,,,No new plants,
pv_roof_indiv_S,1.2055255385969948e-12,,,,,,No new plants,
pv_roof_indiv_EW,1.4971609012463243e-12,,,,,,No new plants,
river,7.82767281,,37.573932100066294,54.796128547671245,,,No new plants,
lake,13.3121875,,21.355516589067577,18.312875772540018,,,No new plants,
nuclear,9.277369061701598e-09,,,,,,No new plants,
methanization,14.243721462982966,,124.77499999999519,99.99999998738882,,,34.7298022661252,
pyrogazification,1.7635472298630912,,15.448673724614975,99.99999994183511,,,89.20430433886249,
natural_gas,,,,,,,,
coal,,,,,,,,
biomass_coge,0.7999999989487782,,2.8047275483145118,40.02179726027398,,,78.06443085014148,
geothermal_coge,2.4572388762027258e-12,,,,,,No new plants,
waste,0.519,,0.787083960775221,17.31209387510274,,,,
marine,0.24304500000091372,,0.9590290780986055,45.04441780821919,,,100.51537898392624,
rsv_dummy,,,,,,,,
ch4_ocgt,12.52899529125179,,0.665205657338428,0.6060878554824871,,,1277.6783610666223,1056.3665459991878
ch4_ccgt,5.0567534117932285,,4.637203863417568,10.468399949826457,,,244.71213494428258,97.17092489441178
h2_ccgt,1.3549998419923762e-08,,,,,,No new plants,
electrolysis,13.400000004707833,,60.61920003742484,51.641791058515174,,,52.57642374047143,11.558906597692385
methanation,7.024065363382675,,34.64441353758191,56.304170354842455,,,77.82165724549903,36.49927342795328
ocgt_coge,3.912919856281086e-11,,,,,,No new plants,
phs,9.299999990429495,101.00000000987006,11.649858131010761,14.299919162124361,,,90.42269827891624,55.080804817759976
battery_1h,1.9749475722868615,1.9749475722868615,1.644684616174039,9.506550353161714,,,55.80986756152295,47.90985862572187
battery_4h,2.69753205525921e-07,1.079012822103684e-06,,,,,No new plants,
h2_saltcavern,6.920000051821786,3999.9999999443453,20.434510813637107,33.70963434128006,,,48.76561270871399,9.554101256054077
ch4_reservoir,88.417,118900.0,16.67723726684734,2.1531992812968284,,,88.52472695838784,2.0
str_dummy,4.3388991910263197e-10,5.90931223221001e-09,,,,,No new plants,
