,Installed power [GW],Energy capacity [GWh],Generated energy [TWh],Load factor [%],FCR [TWh],FRR [TWh],lcoe [€/MWh],lcoe without input [€/MWh]
offshore_float,5.361474900312226e-10,,,,,,No new plants,
offshore_ground,5.3738723325745877e-11,,,,,,No new plants,
onshore,119.99999999984493,,318.7934302326681,30.326620075445206,,,52.93198645222835,
pv_ground_S,94.99999999323762,,134.86855721681965,16.206267390821917,,,48.36426897293194,
pv_ground_EW,2.4224090162152553e-10,,,,,,No new plants,
pv_roof_com_S,7.410232156334106,,10.520077048816884,16.206267390821914,,,51.77719914784388,
pv_roof_com_EW,2.8038093402171287e-10,,,,,,No new plants,
pv_roof_indiv_S,7.99720958527118e-10,,,,,,No new plants,
pv_roof_indiv_EW,2.193322802889054e-12,,,,,,No new plants,
river,7.82767281,,37.573932100066294,54.796128547671245,,,No new plants,
lake,13.3121875,,21.355516589067644,18.31287577254007,,,No new plants,
nuclear,8.134965738875792e-09,,,,,,No new plants,
methanization,14.243721465366013,,124.77499999998841,99.99999997065288,,,43.41225283927343,
pyrogazification,4.228807520338014,,37.04435385719242,99.999999943396,,,111.50538042253066,
natural_gas,,,,,,,,
coal,,,,,,,,
biomass_coge,0.7999999997153405,,2.80472755100201,40.02179726027398,,,97.58053856267685,
geothermal_coge,0.13499999978096164,,0.9450025185981275,79.90888890000001,,,83.80611539394002,
waste,0.519,,0.787083960775221,17.31209387510274,,,,
marine,0.2430450000015775,,0.9590290781012246,45.04441780821918,,,125.64422372990782,
rsv_dummy,,,,,,,,
ch4_ocgt,4.828681334012896,,0.2319839899948563,0.5484352519215445,,,1780.122401159484,1497.757351930228
ch4_ccgt,8.214791451845528,,10.005549986830392,13.904017871316482,,,272.3029100518618,84.05954381899805
h2_ccgt,4.110531903267074e-08,,,,,,No new plants,
electrolysis,13.400000012122092,,60.6192000676755,51.6417910557123,,,86.65116813702122,14.448633247899684
methanation,5.002544321350696,,20.91292278284325,47.722114968384446,,,110.45818931030463,53.82885142132003
ocgt_coge,5.7936143361859166e-11,,,,,,No new plants,
phs,5.059963002292197,101.00000002801688,6.1476371426287635,13.869371408961081,,,25779023052.86009,218.19375995781778
battery_1h,1.7411022502651214,1.7411022502651214,1.3674854359661386,8.965909001114634,,,68.73456836783609,52.51596795599333
battery_4h,9.16541690968749,36.66166763874996,11.15349419054495,13.8916750102415,,,119.46795315182897,87.26931873856158
h2_saltcavern,6.920000130419409,3999.9999998896556,19.75208670587104,32.58387826564635,,,76.26181922596763,12.139303805283925
ch4_reservoir,88.417,118900.0,18.70373062786293,2.414839982251875,,,112.9460198389713,2.5
str_dummy,1.1368209174031039e-09,1.7454613228608573e-08,,,,,No new plants,
