,0
total system cost [1e9€],27.83322217677422
elec_demand_tot [TWh],384.112084493344
H2_demand_tot [TWh],60.619200000000006
CH4_demand_tot [TWh],165.47639999999993
elec_price_weighted_by_demand [€/MWh],64.02942014418123
CH4_price_weighted_by_demand [€/MWh],87.36172455291835
H2_price_weighted_by_demand [€/MWh],75.93326152853291
load_shifted [TWh],31.093920600104646
load_shifted [%],8.09501232983037
primary_gene_elec [TWh],562.3305156296568
gene_elec [TWh],567.6329251504128
gene_curtailed [TWh],35.24362208031334
gene_curtailed [%],6.267421223059555
primary_gene_CH4 [TWh],140.22367372461017
gene_CH4 [TWh],174.8680872621921
gene_H2 [TWh],81.05371085106195
lcoe_elec [€/MWh],39.40371775976103
lcoe_CH4 [€/MWh],44.0675826538641
lcoe_H2 [€/MWh],41.730034293218985
lcoe_elec_volume [€/MWh],37.751401314024555
lcoe_CH4_volume [€/MWh],53.02231167212919
lcoe_H2_volume [€/MWh],67.31004635820788
lcoe_elec_value [€/MWh],38.11671268135158
lcoe_CH4_value [€/MWh],45.07104746497345
lcoe_H2_value [€/MWh],86.7003726187968
transport_and_distrib_lcoe [€/yr/MWh],63.103195599748226
footprint [MtCO2eq/yr],20.718980806981897
