,0
total system cost [1e9€],40.24542697561501
elec_demand_tot [TWh],384.112084493344
H2_demand_tot [TWh],60.619200000000006
CH4_demand_tot [TWh],165.47639999999993
elec_price_weighted_by_demand [€/MWh],95.52489917856053
CH4_price_weighted_by_demand [€/MWh],111.50538035205406
H2_price_weighted_by_demand [€/MWh],117.74106639283133
load_shifted [TWh],31.109443631909222
load_shifted [%],8.09905360643458
primary_gene_elec [TWh],528.6073562959151
gene_elec [TWh],538.8448902727404
gene_curtailed [TWh],30.01547045928964
gene_curtailed [%],5.678216563162421
primary_gene_CH4 [TWh],161.81935385718083
gene_CH4 [TWh],182.73227664002408
gene_H2 [TWh],80.37128677354654
lcoe_elec [€/MWh],57.94253421027667
lcoe_CH4 [€/MWh],59.09654231723559
lcoe_H2 [€/MWh],68.33909595328964
lcoe_elec_volume [€/MWh],55.07788102375925
lcoe_CH4_volume [€/MWh],69.80339717463542
lcoe_H2_volume [€/MWh],93.32185494122935
lcoe_elec_value [€/MWh],56.03936390934872
lcoe_CH4_value [€/MWh],62.59172009492151
lcoe_H2_value [€/MWh],106.91565304026592
transport_and_distrib_lcoe [€/yr/MWh],63.60439782440686
footprint [MtCO2eq/yr],22.279263081271367
